Portuguese	﻿English
ser	be
começar	begin
quebrar	break
comprar	buy
fechar	close
vir	come
cortar	cut
dançar	dance
exercer	do
desenhar	draw
beber	drink
comer	eat
cair	fall
tocar	feel
encontrar	find
disparar	fire
voar	fly
seguir	follow
esquecer	forget
obter	get
dar	give
ter	have
ouvir	hear
ajudar	help
esperar	hope
pular	jump
beijar	kiss
rir	laugh
aprender	learn
ficar	lie
mentir	lie
gostar	like
ouvir	listen
olhar	look
perder	lose
amar	love
encontrar	meet
mudar	move
desejar	need
oferecer	offer
abrir	open
pagar	pay
brincar	play
puxar	pull
empurrar	push
pousar	put
ler	read
recordar	remember
correr	run
dizer	say
vender	sell
cantar	sing
sentar	sit
sorrir	smile
tomar	take
falar	talk
compreender	understand
usar	use
esperar	wait
escrever	write
aceitar	accept
acusar	accuse
realizar	achieve
agir	act
adicionar	add
reconhecer	admit
concordar	agree
permitir	allow
anunciar	announce
discutir	argue
chegar	arrive
perguntar	ask
atacar	attack
evitar	avoid
viver	be
transportar	bear
dominar	beat
tornar-se	become
agir	behave
acreditar	believe
bem	benefit
dar	bring
construir	build
telefonar	call
transportar	carry
surpreender	catch
obter	cause
alterar	change
escolher	choose
classificar	classify
limpar	clean
comparar	compare
conter	contain
continuar	continue
controlar	control
cozinhar	cook
copiar	copy
tossir	cough
pisar	crush
chorar	cry
decidir	decide
retratar	describe
esboçar	design
querer	desire
revelar	develop
morrer	die
descobrir	discover
discutir	discuss
dividir	divide
duvidar	doubt
guiar	drive
incluir	embrace
incentivar	encourage
terminar	end
realçar	enhance
desfrutar	enjoy
entrar	enter
instituir	establish
calcular	estimate
ultrapassar	exceed
existir	exist
esperar	expect
explicar	explain
lutar	fight
encher	fill
sentir	find
concluir	finish
igualar	flush
perdoar	forgive
libertar	free
up capitular	give
crescer	grow
acontecer	happen
odiar	hate
esconder	hide
segurar	hold
identificar	identify
incluir	include
aumentar	increase
ferir	injure
apresentar	introduce
juntar	join
manter	keep
dar um pontapé	kick
matar	kill
aterrar	land
durar	last
guiar	lead
deixar	leave
deixar	let
levantar	lift
limitar	limit
recarregar	load
fechar	lock
parecer	look
perder	lose
treinar	manage
casar	marry
combinar	match
querer dizer	mean
pretender	mean
medir	measure
mencionar	mention
perder	miss
falhar	miss
chamar	name
mandar	order
possuir	own
on entregar	pass
descascar	peel
satisfazer	please
arar	plow
envenenar	poison
polir	polish
preparar	prepare
apertar	press
impedir	prevent
imprimir	print
tratar	process
lucrar	profit
protestar	protest
provar	prove
publicar	publish
educar	raise
chegar a	reach
receber	receive
gravar	record
cortar	reduce
espelhar	reflect
recusar	refuse
tirar	remove
devolver	render
suplantar	replace
responder	reply
comunicar	report
representar	represent
pedir	request
honrar	respect
revelar	reveal
arriscar	risk
governar	rule
fazer economias	save
salvar	save
ver	see
considerar	see
mandar	send
servir	serve
coser	sew
partilhar	share
gritar	shout
mostrar	show
cheirar mal	smell
cheirar	smell
cheirar	smell
passar	spend
estar de pé	stand
ficar	stay
roubar	steal
parar	stop
estudar	study
suportar	suffer
propor	suggest
fornecer	supply
apoiar	support
surpreender	surprise
provar	taste
instruir	teach
experimentar com	test
agradecer	thank
atirar	throw
intitular	title
negociar	trade
treinar	train
ir	travel
tratar	treat
tentar	try
rodar	turn
visitar	visit
caminhar	walk
aquecer	warm
lavar	wash
ver	watch
usar	wear
pesar	weigh
ganhar	win
