English	Portuguese
anything	qualquer coisa
everything	tudo
he	ele
her	dela
him	ele
himself	se
his	dele
it	isto
itself	ele mesmo
me	mim
my	meu
our	nosso
she	ela
that	aquele
their	seu
them	lhes
these	estes
they	eles
this	isto
us	nos
we	nós
what	o que
when	quando
which	qual
which	qual
who	quem
whom	quem
whose	cujo
you	tu, você
your	teu (m), tua (f)
yourself	se