Greek	﻿English
είμαι, είσαι	be
ξεκινώ, αρχίζω	begin
σπάζω	break
αγοράζω	buy
κλείνω	close
έρχομαι	come
κόβω	cut
χορεύω	dance
εξασκώ	do
σχεδιάζω	draw
πίνω	drink
τρώγω, τρώω	eat
πέφτω	fall
νιώθω, αισθάνομαι	feel
βρίσκω	find
πυροβολώ	fire
πετώ	fly
ακολουθώ	follow
ξεχνώ	forget
πάρω	get
δίνω	give
έχω	have
ακούω	hear
βοηθώ	help
ελπίζω	hope
πηδώ	jump
φιλώ	kiss
γνωρίζω	know
γελώ	laugh
μαθαίνω	learn
είμαι ξαπλωμένος	lie
λέω ψέματα	lie
αγαπώ	like
ακούω	listen
κοιτάζω	look
χάνω	lose
αγαπώ	love
κάνω	make
συναντώ	meet
κινώ	move
έχω ανάγκη	need
προσφέρομαι	offer
ανοίγω	open
πληρώνω	pay
παίζω	play
τραβώ, σέρνω	pull
σπρώχνω	push
βάζω	put
διαβάζω	read
θυμάμαι	remember
τρέχω	run
λέω	say
πουλώ	sell
τραγουδώ	sing
κάθομαι	sit
χαμογελώ	smile
κολυμπώ	swim
παίρνω	take
μιλώ	talk
καταλαβαίνω	understand
χρησιμοποιώ	use
περιμένω	wait
γράφω	write
αποδέχομαι	accept
κατηγορώ	accuse
κατορθώνω	achieve
ενεργώ	act
προσθέτω	add
προσθέτω	add
αναγνωρίζω	admit
επιρεάζω	affect
συμφωνώ	agree
επιτρέπω	allow
αναγγέλλω	announce
καβγαγίζω	argue
φτάνω	arrive
ρωτώ	ask
επιτίθεμαι	attack
αποφεύγω	avoid
ζω	be
φέρω	bear
νικώ	beat
γίνομαι	become
συμπεριφέρομαι	behave
πιστεύω	believe
ωφελώ	benefit
δαγκώνω	bite
φέρω, φέρνω	bring
χτίζω	build
καίω	burn
τηλεφωνώ	call
στενεχωρώ	care
μεταφέρω	carry
πιάνω	catch
προκαλώ	cause
αλλάζω	change
διαλέγω	choose
ταξινομώ	classify
καθαρίζω	clean
παραβάλλω	compare
συνδέω	connect
περιέχω	contain
συνεχίζω	continue
ελέγχω	control
βράζω	cook
αντιγράφω	copy
βήχω	cough
μετρώ	count
συνθλίβω	crush
συνθλίβω	crush
κλαίω	cry
αποφασίζω	decide
παραδίδω, εκδίδω	deliver
περιγράφω	describe
σχεδιάζω	design
θέλω	desire
αναπτύσσω	develop
πεθαίνω	die
ανακαλύπτω	discover
συζητώ	discuss
δεν μου αρέσει	dislike
διαιρώ	divide
αμφιβάλλω	doubt
οδηγώ	drive
περιλαμβάνω	embrace
ενθαρρύνω	encourage
τελειώνω	end
αυξάνω	enhance
απολαμβάνω	enjoy
μπαίνω	enter
ιδρύω	establish
εκτιμώ	estimate
υπερβαίνω	exceed
υπάρχω	exist
αναμένω	expect
εξηγώ	explain
εκφράζω	express
μάχομαι	fight
γεμίζω	fill
αποκαλύπτω	find
out αποφασίζω	find
τελειώνω	finish
εξαλείφω	flush
συγχωρώ	forgive
απελευθερώνω	free
up εγκαταλείπω	give
αυξάνομαι	grow
συμβαίνω	happen
μισώ	hate
κρύβω	hide
κρατώ	hold
αναγνωρίζω	identify
μπλέκω	imply
κλείνω	include
αυξάνω	increase
πληγώνω	injure
παρουσιάζω	introduce
παρουσιάζω	introduce
ενώνω	join
διατηρώ	keep
κλοτσώ	kick
σκοτώνω	kill
προσγειώνομαι	land
κρατώ	last
κατευθύνω	lead
αφήνω	leave
αφήνω	let
σηκώνω	lift
περιορίζω	limit
φορτώνω	load
κλειδώνω	lock
φαίνομαι	look
χάνω	lose
διευθύνω	manage
παντρεύομαι	marry
ταυτίζομαι	match
εννοώ	mean
σχεδιάζω	mean
μετρώ	measure
αναφέρω	mention
χάνω	miss
αστοχώ	miss
ονομάζω	name
λειτούργω	operate
διατάζω	order
έχω	own
on παραδίδω, εκδίδω	pass
ξεφλουδίζω	peel
σχεδιάζω	plan
χαίρομαι % χαίρω	please
αλετρίζω	plow
δηλητηριάζω	poison
γυαλίζω	polish
προετοιμάζω	prepare
πιέζω	press
αποτρέπω, προλαμβάνω	prevent
τυπώνω	print
επεξεργάζομαι	process
αποκτώ	profit
διαμαρτύρομαι	protest
αποδεικνύω	prove
εκδίδω	publish
ανατρέφω	raise
εκτιμώ	rate
φτάνω	reach
λαμβάνω, λαβαίνω	receive
ηχογραφώ	record
μειώνω	reduce
αντανακλώ	reflect
αρνούμαι	refuse
απομακρύνω	remove
επιστρέφω	render
εκπροσωπώ	replace
απαντώ	reply
αναφέρω	report
αντιπροσωπεύω	represent
ζητώ	request
