Esperanto	﻿English
cxirkaux	about
super	above
ree	again
preskaux	almost
laux	along
jam	already
ĉiam	always
proksimume	approximately
kiel	as
antaux	before
antaux	before
taga	behind
rekte	directly
malsupren	down
frue	early
suficxe	enough
ecx	even
gxuste	exactly
unue	first
antauxen	forward
ĝenerale	generally
malgrauxe	however
momente	immediately
en	in
ene	inside
malfrue	late
poste	later
malmulta	little
nur	merely
ne	not
nuntempe	now
evidente	obviously
ofte	often
iam	once
ekster	outside
speciale	particularly
eble	possibly
prefere	preferably
versxajne	probably
rapide	quickly
vere	really
vere	really
nelge	recently
lante	slowly
tiel	so
sole	solely
fojfoje	sometimes
baldaux	soon
ankoraux	still
tia	such
subite	suddenly
certe	surely
tiam	then
tie	there
do	therefore
hodiaŭ	today
kune	together
morgaŭ	tomorrow
ankaŭ	too
supren	up
kutime	usually
tre	very
bone	well
