English	Esperanto
be	esti
begin	komenciĝi
break	rompi
buy	aĉeti
close	fermi
come	veni
cut	trancxi
dance	danci
do	ekzerci
draw	desegni
drink	trinki
eat	manĝi
fall	langema
feel	palpi
find	trovi
fire	pafi
fly	flugi
follow	sekvi
forget	forgesi
get	akiri
give	doni
have	havi
hear	auxdi
help	helpi
hope	esperi
jump	salti
kiss	kisi
know	scii
laugh	ridi
learn	lerni
lie	kusxi
lie	mensogi
listen	aŭdi
look	rigardi
lose	perdi
love	ami
make	fari
meet	renkonti
move	movi
need	necesi
offer	oferti
open	malfermi
pay	pagi
play	ludi
pull	tiri
push	puŝi
put	meti
read	legi
run	kuri
say	diri
sell	vendi
sit	sidi
smile	rideti
take	preni
talk	paroli
understand	kompreni
use	uzi
write	skribi
accept	akcepti
accuse	akuzi
achieve	atingi
act	agi
add	aldoni
admit	koncedi
agree	konsenti
allow	permesi
announce	anonci
argue	disputi
arrive	alveni
ask	peti
attack	ataki
avoid	eviti
be	vivi
bear	porti
beat	venki
become	iĝi
behave	konduti
believe	kredi
bite	mordi
bring	alporti
build	konstrui
call	alvoki
carry	porti
catch	kapti
cause	emigi
change	ŝanĝi
choose	elekti
classify	klasi
clean	purigi
compare	kompari
contain	enhavi
continue	dauxrigi
control	komandi
cook	kuiradi
copy	kopii
cough	tusi
crush	pisti
crush	dispremi
cry	plori
decide	decidi
deliver	liveri
describe	priskribi
design	plani
desire	voli
develop	evolucii
die	morti
discuss	diskuti
divide	fendi
doubt	dubi
drive	stiri
encourage	kuraĝigi
end	fini
enhance	levi
enjoy	ĝui
enter	eniri
establish	fondi
estimate	taksi
exceed	superi
exist	ekzisti
expect	atendi
explain	ekspliki
express	esprimi
fight	batali
fill	plenigi
find	trovi
finish	fini
flush	niveli
forgive	pardoni
free	liberigi
give	up kapitulaci
grow	kreski
happen	okazi
hate	malami
hide	kaŝi
hold	teni
identify	identigi
include	inkluzivi
increase	kreski
injure	vundi
introduce	prezenti
introduce	prezenti
join	kunligi
keep	konservi
kick	kiki
kill	mortigi
lead	konduki
let	permesi
lift	levi
limit	limigi
load	sxargxi
lock	sxlosi
look	aspekti
lose	perdi
manage	administri
marry	edzigxi
match	korespondi
mean	intenci
measure	mezuri
mention	mencii
name	nomi
order	ordoni
own	havi
peel	elŝeligi
plan	plani
please	gxojigi
plow	plugi
poison	veneni
polish	poluri
prepare	pretigi
prevent	preventi
print	presi
process	prilabori
profit	profiti
protest	protesti
prove	montri
publish	publikigi
raise	eduki
rate	taksi
reach	gajni
receive	ricevi
record	registri
reduce	plimalgrandigi
reflect	reflekti
refuse	rifuzi
remove	elpreni
render	redoni
reply	respondi
report	riporti
represent	reprezenti
request	peti
respect	honori
rest	ripozi
reveal	riveli
risk	riski
round	off rondigi
rule	regi
save	ŝpari
save	savi
see	vidi
see	konsideri
send	sendi
sew	kudri
shout	kriegi
show	montri
smell	odori
smell	fetori
smell	odori
stand	stari
stay	resti
steal	sxteli
stop	haltigi
study	studi
suffer	suferi
suggest	proponi
supply	liveri
support	subteni
suppose	supozi
surprise	surprizi
taste	gustumi
teach	instrui
test	testi
thank	danki
think	opinii
throw	jxeti
title	titoli
trade	negoci
train	trejni
travel	iri
treat	trakti
try	provi
turn	turni
visit	viziti
walk	marsxi
warm	varmigi
wash	lavi
watch	observi
wear	porti
weigh	pezi
win	gajni
wish	deziri