English	Lithuanian
snow	sniegas
storm	audra
thunder	griaustinis
wind	vėjas
acid	rūgštis
chemical	cheminė medžiaga
chemical element	elementas
coal	anglis
dust	dulkės
earth	žemė
fat	riebalai
glass	stiklas
glue	klijai
ice	ledas
iron	geležis
leather	oda
liquid	skystis
matter	materija
metallic element	metalas
oil	nafta
poison	nuodas
powder	milteliai
sand	smėlis
silk	šilkas
soap	muilas
steel	plienas
wood	medis
wool	vilna
bag	krepšys
basket	krepšys
bottle	butelis
box	dėžė
can	skardinė
cup	puodelis
drawer	stalčius
envelope	vokas
glass	stiklinė
plate	lėkštė
bell	varpas
button	saga
gun	šautuvas
hammer	plaktukas
hook	kablys
key	raktas
lock	spyna
match	degtukas
nail	vinis
needle	adata
pump	siurblys
rope	virvė
scissors	žirklės
spring	spyruoklė
stamp	antspaudas
whip	botagas
addition	sudėtis
angle	kampas
area	plotas
circle	apskritimas
curve	kreivė
degree	laipsnis
degree	lygis
difference	skirtumas
distance	atstumas
edge	kraštas
element	elementas
function	funkcija
half	pusė
limit	riba
line	linija
net	tinklas
percent	dalis
point	taškas
purpose	tikslas
result	pasekmė
rule	taisyklė
set	aibė
side	pakraštys
square	kvadratas
square	kvadratas
surface	paviršius
total	suma
act	veiksmas
action	veiksmas
activity	veikla
addition	priedas
attack	ataka
attempt	bandymas
attitude	požiūris
back	užpakalis
behavior	elgesys
bit	gabaliukas
blow	smūgis
break	pertrauka
campaign	kampanija
case	atvejis
chance	proga
change	kaita
condition	būklė
connection	jungtis
crack	įdauža
damage	žala
danger	pavojus
death	mirtis
decoration	ornamentas
destruction	griuvėsiai
dominance	galia
drop	lašas
duty	pareiga
effort	pastanga
fall	krituliai
feature	bruožas
fight	kova
hit	smūgis
hole	skylė
internet	internetas
jolt	smūgis
kick	spyris
kind	rūšis
knot	mazgas
list	sąrašas
majority	dauguma
matter	daiktas
mind	protas
operation	darbas
opposite	priešingybė
outburst	protrūkis
part	dalis
part	dalis
piece	dalis
place	vieta
position	vieta
power	galia
practice	praktika
property	savybė
quality	kokybė
report	ataskaita
responsibility	atsakomybė
rest	poilsis
rise	kilimas
risk	pavojus
seat	aikštė
set	rinkinys
silence	ramybė
situation	padėtis
state	būklė
step	žingsnis
taste	skonis
thing	daiktas
top	viršūnė
treatment	elgesys
trick	gudrybė
type	rūšis
way	būdas
whole	visuma
will	valia
wish	noras
art	menas
artist	menininkas
band	orkestras
brush	šepetys
color	spalvos
concert	koncertas
diversity	įvairumas
entertainment	pramoga
image	įvaizdis
ink	rašalas
manner	būdas
movie	filmas
museum	muziejus
music	muzika
note	gaida
orchestra	orkestras
paint	pigmentas
painting	paveikslas
paper	popierius
pen	plunksnakotis
pencil	pieštukas
picture	atvaizdas
poem	eilėraštis
poetry	poezija
rhythm	ritmas
shape	forma
singer	dainininkas
song	daina
stage	scena
style	stilius
vogue	mada
account	sąskaita
advantage	privalumas
advertisement	skelbimas
agreement	sutartis
attention	dėmesys
authority	įgaliojimas
banknote	banknotas
bargain	sandėris
brand	markė
capital	kapitalas
cheque	čekis
committee	komitetas
company	bendrovė
competition	rungtynės
complaint	skundas
contract	kontraktas
copy	kopija
cost	išlaidos
council	taryba
course	paskaita
customer	užsakovas
demand	poreikis
department	skyrius
difficulty	sunkumas
director	direktorius
economy	ūkis
environment	aplinka
experience	patirtis
firm	firma
form	anketa
group	grupė
help	pagalba
holiday	atostogos
income	pajamos
industry	pramonė
insurance	draudimas
interest	palūkanos
invoice	sąskaita
job	darbas
law	įstatymas
leave	atostogos
loss	netektis
management	vadyba
mark	žymeklis
market	rinka
material	medžiaga
mean	vidurkis
meeting	susitikimas
money	pinigai
occupation	darbas
office	kabinetas
officer	pareigūnas
operation	operacija
owner	savininkas
package	paketas
payment	įmoka
plan	planas
price	kaina
problem	problema
product	produktas
profit	pelnas
property	nuosavybė
rate	dydis
rest	likutis
reward	atlyginimas
right	teisė
sale	aukcionas
section	skyrius
service	tarnyba, paslauga
share	akcija
shop	parduotuvė
skill	gebėjimas
staff	personalas
structure	struktūra
success	sėkmė
support	atrama
table	lentelė
tax	mokestis
team	būrys
trade	prekyba
value	vertė
work	darbas
worker	darbininkas
announcement	pranešimas
answer	atsakymas
argument	argumentas
book	knyga
call	skambutis
character	rašmuo
controversy	ginčas
cry	šauksmas
data	duomenys
decision	sprendimas
dictionary	žodynas
discussion	diskusija
doubt	abejonė
experience	įvykis
feeling	jautrumas
humor	humoras
idea	nuomonė
information	informacija
interest	pomėgis
interview	interviu
language	kalba
language	kalba
letter	raidė
letter	laiškas
lie	melas
look	žvilgsnis
magazine	žurnalas
mail	paštas
memory	atmintis
mistake	klaida
name	vardas
newspaper	laikraštis
note	pastaba
number	skaičius
opinion	nuomonė
page	puslapis
proposal	siūlymas
protest	protestas
question	klausimas
reaction	reakcija
request	prašymas
secret	paslaptis
sentence	sakinys
sign	ženklas
speech	kalba
spelling	rašyba
standard	kriterijus
statement	pareiškimas
subject	tema
suggestion	teiginys
voice	balsas
word	žodis
writing	raštas
good day	laba diena
hello	labas
how are you	kaip tau sekasi?
no	ne
yes	taip
Britain	GB
China	Kinija
Czech Republic	Čekijos Respublika
France	Prancūzijos Respublika
Germany	Vokietijos Federacinė Respublika
India	Indijos Respublika
Italy	Italija
Japan	Japonija
Spain	Ispanijos Karalystė
United States of America	Jungtinės Amerikos Valstijos
camera	fotoaparatui
cellular phone	mobilusis telefonas
clock	laikrodis
computer	kompiuteris
elevator	liftas
engine	variklis
instrument	įrankis
machine	mašina
