English	Lithuanian
about	ant
above	virš
again	vėl
almost	beveik
along	išilgai
already	jau
always	visuomet
approximately	apie
as	kaip
before	prieš
between	tarp
directly	tiesioginis
down	žemyn
either	abu
enough	pakankamas
exactly	taip
finally	paskiausiai
first	pirma
generally	daugiausia
here	čia
here	čia
however	tačiau
immediately	nedelsiant
in	į
inside	viduje
little	nedaug
merely	tiktai
never	niekada
not	ne
obviously	matyt
once	kažkada
outside	lauke
particularly	ypač
possibly	galbūt
probably	tikriausiai
so	taip
sometimes	kartais
soon	netrukus
still	dar
such	toks
surely	tikriausiai
then	paskui
therefore	todėl
today	šiandien
together	kartu
tomorrow	rytojus (m), rytdiena (f)
tonight	šiąnakt
up	į
very	labai
well	geras
why	kodėl