English	Lithuanian
another	kitas
bad	blogas
basic	pradinis
beautiful	gražus
better	verčiau
big	didelis
clean	švarus
cold	šaltas
correct	teisingas
dark	tamsus
difficult	kietas
fast	greitas
good	geras
great	didžiulis
great	nuostabus
happy	laimingas
heavy	sunkus
hot	karštas
important	svarbus
left	kairys
light	lengvas
new	naujas
nice	malonus
real	tikras
right	dešinys
sharp	geras
similar	panašus
slow	lėtas
soft	minkštas
weak	silpnas
wrong	negeras
ago	prieš
automatic	automatinis
bitter	kartus
boring	nuobodus
certain	tikras
cheap	pigus
chemical	cheminis
clear	aiškus
common	įprastas
common	bendras
complete	pilnas
cruel	žiaurus
dangerous	pavojingas
delicate	gležnas
deplorable	liūdnas
different	skirtingas
different	skirtingas
down	žemyn
dry	sausas
each	kiekvienas
early	ankstyvas
easy	lengvas
economic	ekonominis
economic	ekonomiškas
electric	elektrinis
equal	lygus
even	lyginis
even	lygus
every	kiekvienas
excellent	puikus
far	toli
fat	riebus
fat	didžiulis
few	nedaug
final	galutinis
financial	finansinis
firm	tvirtas
flat	plokščias
following	kitas
foreign	užsieninis
fragile	trapus
frequent	dažnas
fresh	šviežias
full	sotus
full	bendras
further	toliau
general	bendras
industrial	pramoninis
interesting	įdomus
international	tarptautinis
last	paskutinis
legal	legalus
liquid	skystas
local	vietinis
loud	garsus
low	žemas
lucky	laimingas
main	pagrindinis
major	pagrindinis
many	daugelis
metal	metalinis
military	karinis
minute	smulkus
more	dar
much	daug
narrow	siauras
natural	natūralus
necessary	būtinas
next	gretimas
no	numeris
normal	normalus
opposite	kitas
original	pirminis
other	kitas
own	savas
parallel	lygiagretus
particular	ypatingas
past	ankstesnis
personal	asmeninis
physical	fizinis
political	politinis
poor	vargšas
possible	galimas
present	dabartinis
previous	ankstesnis
private	privatus
probable	galimas
professional	profesinis
public	viešas
quiet	ramus
ready	gatavas
regular	lygus
responsible	atsakingas
rigid	kietas
rough	grubus
round	apvalus
safe	saugus
second	antras
separate	atskiras
serious	rimtas
several	keli
short	trumpas
silent	tylus
simple	paprastas
single	vienintelis
small	mažas
smooth	švelnus
solid	kietas
sparse	retas
special	atskiras
specific	specifinis
square	kvadratinis
standard	standartinis
sticky	lipnus
straight	tiesus
strange	keistas
stylish	stilingas
sudden	staigus
sweet	saldumynai
tall	aukštas
thick	tankus
thin	plonas
tight	siauras
ugly	bjaurus
under	po
unusual	nepaprastas
usual	eilinis
various	skirtingas
warm	šiltas
wet	šlapias
whole	visas
wide	platus