English	Croatian
anyone	bilo tko
anything	bilo što, išta
everybody	svatko
everything	sve
he	on
her	njen
herself	se, sebe
him	mu, njemu
himself	se, sebe
his	njegov
it	to
itself	se, sebe
me	mene
my	moj
our	naš
she	ona
that	onaj
their	njihov
them	ih, njih
these	ovi
they	oni
this	ovaj
those	oni
us	nas
we	mi
what	što
when	kada
which	koji
which	koji
who	tko
whom	kome
whose	čiji
you	ti
your	tvoj
yourself	se, sebe