English	Serbian
black	црн
blue	plav
brown	браон
gray	сив
green	зелен
orange	narandža
pink	роз
violet	љубичаст
white	бео
yellow	жут
eighty	осамдесет
eleven	једанаест
fifty	педесет
five	пет
forty	четрдесет
nine	девет
ninety	деведесет
nothing	ништа
seventy	седамдесет
six	шест
sixty	шездесет
thirty	тридесет
thousand	хиљаду
three	три
arm	рука
blood	крв
body	торзо
bone	кост
brain	мозак
cell	ћелија
ear	ухо
eye	око
face	лице
finger	прст
foot	noga
gene	ген
hair	коса
hand	шака
head	глава
heart	срце
knee	колено
leg	noga
lip	уснa
mouth	уста
nail	нокти
neck	врат
nerve	живац
nose	нос
skin	кожни систем
stomach	желудац
tail	реп
throat	ждрело
thumb	палац
tongue	језик
tooth	зуб
wing	крило
ant	мрав
bear	медвед
bee	пчела
bird	птица
cat	мачак
cow	крава
dog	пас
elephant	слон
fish	риба
fly	muva
horse	домаћи коњ
lion	лав
monkey	majmun
pig	svinja
sheep	овца
snake	змија
afternoon	послеподне
age	vek
April	Април
August	август
autumn	јесен
century	век
day	дан
December	Децембар
evening	вече
February	Фебруар
Friday	Петак
future	будућност
hour	сат
January	Јануар
July	Јул
June	Јун
May	мај
minute	минут
Monday	Понедељак
month	mesec
morning	јутро
night	ноћ
November	Новембар
October	Октобар
Saturday	Субота
second	секунд
September	Септембар
spring	пролеће
summer	лето
Sunday	Недеља
Thursday	Четвртак
Tuesday	Уторак
Wednesday	Среда
week	седмица
winter	зима
year	година
bread	хлеб
breakfast	doručak
butter	путер
cake	торта
cheese	сир
chocolate	чоколада
egg	јајe
food	храна
fruit	воће
meal	obrok
meat	месо
oil	уље
rice	pirinač
salt	со
soup	supa
sugar	шећер
beer	*пиво??
coffee	кафа
drink	piće
milk	млеко
tea	чајеви
water	вода
wine	вино
apple	jabuka
apricot	кајсија
banana	банана
blackberry	купина
cherry	трешња
lemon	limun
nut	орашасти плодови
orange	поморанџа
peach	бресква
pear	крушка
pineapple	ананас
plum	шљива
raspberry	малина
strawberry	јагода
bean	пасуљ
cabbage	купус
carrot	шаргарепа
cucumber	краставац
garlic	бели лук
onion	црни лук
parsnip	пашканат
potato	кромпир
radish	ротквица
tomato	парадајз
baby	новорођенче
birth	рођење
boy	dečak
brother	брат
daughter	ćerka
death	смрт
family	породица
father	отац
friend	пријатељ
girl	devojka
grandfather	деда
human	човек
man	мушкарац
marriage	брак
mother	мајка
sister	сестра
son	син
wedding	венчање
woman	жена
bathroom	купатило
bedroom	спаваћа соба
brick	опека
door	врата
floor	под
garden	башта
house	кућа
kitchen	кухиња
roof	кров
room	soba
toilet	тоалет
wall	*zid, зид??
well	bunar
window	прозор
bed	кревет
carpet	тепих
chair	столица
cupboard	ормар
furniture	намештај
table	сто
cloth	текстил
clothing	одећа
coat	kaput
ring	прстен
shirt	košulja
shoe	cipela
skirt	suknja
tie	кравата
air	ваздух
animal	животиња
evolution	еволуција
farm	фарма
field	њива
fire	ватра
flower	цвет
forest	шума
leaf	list
life	живот
lightning	munja
nature	природа
root	корен
sex	пол
sky	небо
sleep	сан
tree	дрво
weather	време
world	свет
airport	аеродром
bridge	ћуприја
building	грађевина
capital	главни град
castle	замак
church	црква
cinema	биоскоп
city	град
factory	фабрика
flat	стан
hospital	bolnica
hotel	хотел
library	библиотека
park	парк
restaurant	ресторан
road	пут
school	школа
station	станица
street	улица
theater	позориште
town	град
boat	чамац
bus	аутобус
car	аутомобил
flight	let
ship	брод
track	*šina??
train	воз
general	генерал
journalist	новинар
judge	sudija
minister	министар
photographer	фотограф
servant	sluga
writer	писац, аутор
bank	obala
beach	plaža
Earth	Земља
east	исток
island	острво
lake	језеро
map	мапа
Moon	месец
north	север
plain	равница
river	reka
sea	море
south	југ
space	prostor
star	звезда
sun	сунце
west	запад
cloud	облак
dew	роса
fog	магла
frost	мраз
rain	kiša
rainbow	дуга
snow	снег
storm	олуја
thunder	grom
wind	ветар
acid	киселина
chemical	хемијска супстанца
chemical element	хемијски елемент
coal	угаљ
cotton	pamuk
dust	прашина
earth	земља
glass	стакло
glue	лепак
iron	гвожђе
leather	koža
metallic element	метал
oil	нафта
poison	отров
sand	песак
silk	свила
soap	сапун
steel	челик
wood	дрво
wool	вуна
bag	vreća
bottle	боца
box	kutija
can	лименка
drawer	фиока
plate	тањир
bell	звоно
button	dugme
gun	revolver
hammer	чекић
hook	kuka
key	*ključ??
lock	brava
match	шибица
nail	ексер
needle	igla
pump	пумпа
rope	уже
spring	опруга
stamp	марка
whip	бич
addition	сабирање
angle	угао
area	површина
circle	кружница
curve	крива
limit	granica
line	права
percent	проценат
point	tačka
purpose	функција
rule	pravilo
set	скуп
side	strana
square	квадрат
surface	површ
amount	količina
attitude	став
behavior	понашање
case	slučaj
danger	opasnost
defense	одбрана
destruction	razaranje
drop	кап
fall	pad
internet	интернет
knot	чвор
mind	психа
power	моћ
project	zadatak
will	воља
wish	жеља
art	уметност
brush	четка
color	боје
entertainment	забава
ink	мастило
movie	филм
museum	музеј
music	музика
note	note
orchestra	оркестар
painting	слика
paper	папир
pen	хемијска оловка
pencil	оловка
poetry	поезија
rhythm	ritam
shape	oblik
song	песма
advertisement	реклама
attention	пажња
