Thai	﻿English
รอบ ๆ	about
เหนือ	above
อีก	again
เกือบจะ	almost
แล้ว	already
เป็นประจำ	always
โดยประมาณ	approximately
ข้างหลัง	behind
อยู่ระหว่างสิ่งสองสิ่ง	between
โดยตรง	directly
พอเพียง	enough
อย่างถูกต้อง	exactly
ท้ายที่สุด	finally
ส่วนใหญ่	generally
ที่นี่ (thīnī) (1), มาตรงนี้ (mātrongnī) (2)	here
ที่นี่	here
ทันทีทันใด	immediately
ภายใน	inside
แทน	instead
ดึก	late
เล็กน้อย	little
เพียงแค่	merely
ไม่	not
เดี๋ยวนี้)	now
อย่างเห็นชัด	obviously
โดยเฉพาะอย่างยิ่ง	particularly
บางที	possibly
อย่างน่าจะเป็นไปได้	probably
อย่างรวดเร็ว	quickly
อย่างที่เกิดขึ้นตามจริง	really
อย่างเร็ว	recently
ในไม่ช้า	soon
เช่นนี้	such
อย่างแน่นอน	surely
ในขณะนั้น	then
วันนี้	today
ร่วมกัน	together
พรุ่งนี้	tomorrow
คืนนี้	tonight
เช่นกัน	too
โดยปกติ	usually
แท้จริง	very
อารมณ์	well
