Thai	﻿English
ทุกคน	everybody
ทุกสิ่งทุกอย่าง	everything
เขา (kăo),	he
ของเขา (kŏng kăo)	her
ตัวเธอเอง	herself
เขาผู้ชาย	him
ของเขา (kŏng kăo)	his
มัน (man)	it
ฉัน	me
ของฉัน	my
ของเรา	our
เธอ	she
นั่น (nân)	that
ของเขาเหล่านั้น	their
พวกเขา	they
นี้ (née)	this
เรา	us
เรา	we
อะไร (à-rai), ยังไง (yang-ngai)	what
เมื่อ (mêua)	when
ใคร	who
คุณ (kun), เธอ (ter)	you
ของคุณ (kŏng kun)	your
