English	Thai
everybody	ทุกคน
everything	ทุกสิ่งทุกอย่าง
he	เขา (kăo),
her	ของเขา (kŏng kăo)
herself	ตัวเธอเอง
him	เขาผู้ชาย
his	ของเขา (kŏng kăo)
it	มัน (man)
me	ฉัน
my	ของฉัน
our	ของเรา
she	เธอ
that	นั่น (nân)
their	ของเขาเหล่านั้น
they	พวกเขา
this	นี้ (née)
us	เรา
we	เรา
what	อะไร (à-rai), ยังไง (yang-ngai)
when	เมื่อ (mêua)
who	ใคร
you	คุณ (kun), เธอ (ter)
your	ของคุณ (kŏng kun)
yourself	ตัวเอง