English	Indonesian
anything	apa saja
everybody	setiap orang
everything	segalanya
he	dia,
her	miliknya
herself	dirinya
him	dia
his	miliknya
it	itu
itself	dirinya
me	saya
my	milik saya
our	milik kami
she	dia (perempuan)
that	itu
their	milik mereka
them	mereka
they	mereka
this	ini
we	kami
what	apa
when	kapan
which	yang
which	yang
who	siapa
whom	siapa
you	(familiar) kalian
yourself	dirimu