English	Indonesian
break	memecah
buy	membeli
close	menutup
come	datang
cut	memotong
dance	menari
do	menggunakan
draw	menggambar
drink	minum
eat	makan
fall	jatuh
find	menemukan
fire	melepaskan
fly	terbang
follow	menyusul
forget	melupakan
give	memberi
have	mempunyai
hear	mendengar
help	membantu
hope	mengharapkan
jump	melompat
kiss	mencium
laugh	tertawa
learn	belajar
lie	menggeletak
lie	berdusta
like	menyukai
listen	mendengarkan
look	melihat
lose	kehilangan
love	mencintai
make	mengadakan
meet	bertemu secara tiba-tiba
move	menggerakkan
need	memerlukan
offer	menawarkan
open	membuka
pay	membayar
play	bermain
pull	menarik
push	mendorong
put	meletakkan
read	membaca
remember	mengingat
run	berlari
say	mengatakan
sell	menjual
sing	menyanyi
sit	duduk
smile	tersenyum
swim	berenang
take	mengambil
talk	berbicara
understand	memahami
use	menggunakan
wait	menunggu
write	menulis
accept	menerima
accuse	menuduh
achieve	mencapai
act	bertindak
add	menambah
admit	mengakui
agree	sependapat
allow	memungkinkan
announce	mengumumkan
argue	bertengkar
arrive	datang
ask	bertanya
attack	menyerang
avoid	menghindari
be	hidup
bear	membawa
beat	menaklukkan
become	menjadi
believe	percaya
bite	gigit
bring	mengakibatkan
build	membangun
burn	bakar
call	menelepon
carry	membawa
change	mengubah
choose	memilih
classify	menganggap
clean	membersihkan
compare	menyamakan
contain	berisi
continue	meneruskan
control	menguasai
cook	memasak
cough	batuk
crush	meremas
cry	menangis
decide	memastikan
design	merancang
desire	menginginkan
develop	memproses
die	mati
discover	menemukan
discuss	membicarakan
divide	membagi
doubt	ragu-ragu
drive	mengemudikan
embrace	mencakup
encourage	memberi semangat
end	menyelesaikan
enhance	meningkatkan
enjoy	menikmati
enter	masuk
establish	mendirikan
estimate	menaksir
exceed	melampaui
exist	ada
expect	menunggu
explain	menjelaskan
fight	berkelahi
fill	mengisi
find	menemukan
flush	menyamakan
forgive	memaafkan
free	membebaskan
grow	tumbuh
happen	terjadi
hate	membenci
hide	menyembunyikan
hold	memegang
identify	mengenali
include	mencakup
increase	meningkatkan
injure	melukai
introduce	memperkenalkan
join	menggabungkan
keep	menjaga
kick	menendang
kill	membunuh
land	mendaratkan
last	bertahan
lead	memimpin
leave	meninggalkan
let	mengijinkan
lift	mengangkat
limit	membatasi
load	menyetrum
lock	mengunci
look	tampaknya
lose	kehilangan
manage	menjadi pengurus
marry	mengawini
match	cocok
mean	berarti
mean	merencanakan
measure	mengukur
mention	menyebutkan
miss	ketinggalan
miss	meleset
name	menamai
own	memiliki
pass	on menyerahkan
peel	mengupas
plan	merencanakan
poison	meracuni
polish	menggosok
prepare	menyiapkan
press	menekan
prevent	mencegah
print	mencetak
profit	mendapat keuntungan
protest	protes
prove	membuktikan
publish	menerbitkan
raise	mendidik
rate	menilai
reach	mencapai
receive	menerima
record	merekam
reduce	mengurangi
reflect	memantulkan
refuse	menolak
remove	menyingkirkan
render	mengembalikan
reply	jawab
report	melaporkan
represent	mewakili
request	meminta
respect	menghormati
reveal	mengungkapkan
risk	menghadapi risiko
rule	memerintah
save	menabung
save	menyelamatkan
see	melihat
see	menganggap
send	mengirimkan
serve	mengabdi
sew	menjahit
share	berbagi
shout	berteriak
show	mempertunjukkan
smell	berbau
smell	mencium bau
smoke	asap
spend	melewatkan
stand	berdiri
stay	tinggal
steal	mencuri
stop	menghentikan
study	belajar
suggest	mengusulkan
supply	melengkapi
support	mendukung
surprise	mengejutkan
taste	mencicipi
teach	melatih
test	menguji
thank	berterima kasih
throw	melemparkan
title	memberi judul
trade	berdagang
train	melatih
travel	pergi
treat	memperlakukan
try	mencoba
turn	memutar
visit	mengunjungi
walk	berjalan
warm	menghangatkan
wash	mencuci
watch	melihat
wear	memakai
weigh	berbobot
win	menang
wish	menginginkan