English	Indonesian
black	tanpa susu
blue	biru
brown	warna coklat
gray	abu-abu
green	mentah
orange	jingga
pink	merah muda
red	merah
violet	warna ungu
white	putih
yellow	kuning
couple	sepasang
eight	delapan
eighteen	delapan belas
eighty	delapan puluh
eleven	sebelas
fifteen	lima belas
fifty	lima puluh
five	lima
forty	empat puluh
four	empat
fourteen	empat belas
million	satu juta
nine	sembilan
nineteen	sembilan belas
ninety	sembilan puluh
nothing	nol
one	satu
seventeen	tujuh belas
seventy	tujuh puluh
six	enam
sixty	enam puluh
ten	sepuluh
third	ketiga
thirteen	tiga belas
thirty	tiga puluh
thousand	seribu
thousand	seribu
three	tiga
arm	lengan
back	punggung
beak	paruh
blood	darah
body	tubuh
bone	tulang
brain	otak
breath	napas
cell	sel
chest	dada
chest	dada
chin	dagu
ear	telinga
eye	mata
face	wajah
finger	jari
foot	kaki
forehead	dahi
gene	gen
hair	rambut
hair	bulu
hand	tangan
head	kepala
heart	jantung
knee	lutut
leg	kaki
lip	bibir
mouth	mulut
muscle	otot
nail	kuku
neck	leher
nerve	saraf
nose	hidung
skin	kulit
stomach	lambung
tail	ekor
throat	tenggorokan
thumb	ibu jari
toe	jari kaki
tongue	lidah
tooth	gigi
wing	sayap
ant	semut
bear	beruang
bee	lebah
bird	burung
cat	kucing
cow	sapi
dog	anjing
elephant	gajah
fish	ikan
fly	lalat
goat	kambing
horse	kuda
insect	serangga
lion	singa
monkey	monyet
pig	babi
sheep	domba
snake	ular
afternoon	petang
age	usia
April	April
August	Agustus
autumn	musim gugur
beginning	awal
century	abad
date	tanggal
day	hari
December	Desember
end	akhir
evening	sore
February	Februari
Friday	Jumat
future	masa depan
hour	jam
January	Januari
July	Juli
June	Juni
May	mei
midnight	tengah malam
minute	menit
moment	sekejap
Monday	Senin
month	bulan
morning	pagi
night	malam
November	November
now	sekarang
October	Oktober
past	masa lalu
pause	saat sela
period	masa
Saturday	Sabtu
season	musim
second	detik
September	September
spring	musim semi
summer	musim panas
Sunday	Minggu
Thursday	Kamis
tomorrow	masa depan
Tuesday	Selasa
Wednesday	Rabu
week	minggu
weekend	akhir pekan
winter	musim dingin
year	tahun
bread	roti
breakfast	sarapan
butter	mentega susu
cake	kue
cheese	keju
chocolate	coklat
egg	telur
food	makanan
fruit	buah
lunch	makan siang
meal	makanan
meat	daging
oil	minyak
rice	padi
salad	selada
salt	garam
sandwich	roti lapis
sauce	saus
soup	sup
sugar	gula
sweet	kemanisan
beer	bir
coffee	kopi
drink	minuman
milk	susu
milkshake	susu kocok
tea	teh
water	air
wine	anggur
apple	buah apel
apricot	aberikos
banana	pisang
blackberry	beri hitam
cherry	ceri
lemon	jeruk
nut	biji-bijian
orange	jeruk
peach	buah persik
pear	buah pir
pineapple	nenas
plum	buah zabib
raspberry	nama buah-buahan
strawberry	buah arbei
bean	kacang-kacangan
cabbage	kol
carrot	wortel
cucumber	mentimun
garlic	bawang putih
olive	zaitun
onion	bawang
parsnip	semacam wortel
potato	kentang
radish	lobak
tomato	tanaman tomat
baby	bayi
birth	kelahiran
birthday	hari ulang tahun
boy	anak laki-laki
brother	saudara laki-laki
child	anak
daughter	anak perempuan
death	kematian
family	keluarga
father	ayah
friend	teman
girl	anak perempuan
grandfather	kakek
human	orang
husband	suami
life	masa hidup
man	pria
marriage	perkawinan
mother	ibu
neighbor	tetangga
parent	orangtua
person	orang
relationship	hubungan
sister	saudara perempuan
son	anak laki-laki
wedding	perkawinan
wife	istri
woman	wanita
address	alamat
bathroom	kamar mandi
bedroom	kamar tidur
brick	bata
door	pintu
floor	lantai
floor	tingkat
garage	garasi
garden	kebun
gate	gerbang
hall	lobi
home	tempat tinggal
house	rumah
kitchen	dapur
roof	atap
room	kamar
shower	mandi dengan pancaran
step	anak tangga
toilet	kamar kecil
wall	tembok
well	sumur
window	jendela
bed	tempat tidur
carpet	permadani
chair	kursi
cupboard	lemari
curtain	tirai
desk	meja tulis
furniture	perabotan
seat	kursi
shelf	rak
sink	tempat cuci piring
table	meja
bag	tas
boot	sepatu bot
cloth	kain
clothing	pakaian
coat	mantel
collar	kerah
hat	topi
jacket	jaket
jewel	batu mulia
ring	cincin
shirt	kemeja
shoe	sepatu
skirt	rok
sock	kaus kaki
suitcase	kopor
tie	dasi
air	hawa
animal	hewan
branch	cabang
evolution	evolusi
field	ladang
fire	nyala
flower	bunga
forest	hutan
grass	rumput
leaf	daun
life	kehidupan
