English	Indonesian
another	yang lain
bad	buruk
basic	dasar
beautiful	cantik
best	paling baik
better	lebih baik
big	besar
clean	bersih
cold	dingin
correct	betul
dark	gelap
difficult	sulit
dirty	curang
fast	cepat
good	sangat sopan
great	besar
great	menyenangkan
happy	bahagia
healthy	sehat
heavy	berat
high	tinggi
hot	panas
important	penting
left	kiri
light	ringan
near	dekat
new	baru
nice	menyenangkan
open	buka
real	benar-benar ada
right	kanan
sharp	tajam
slow	lambat
soft	empuk
strong	keras
weak	lemah
wrong	salah
acid	asam
after	setelah, sesudah
ago	berselang
all	semua
any	mana saja
automatic	bekerja sendiri
available	tersedia
bitter	pahit
boring	membosankan
both	dua/keduanya
broken	patah
central	inti
certain	pasti
cheap	murah
chemical	kimiawi
clear	cerah
closed	tertutup
common	biasa
common	sama
complete	lengkap
conscious	sadar
cruel	kejam
dangerous	berbahaya
delicate	halus
deplorable	sedih
different	tidak sama
different	tidak serupa
down	menuruni
dry	kering
each	setiap
early	dini
easy	mudah
economic	mengenai ekonomi
economic	irit
electric	listrik
equal	sama
even	genap
even	sama kuat
every	setiap
excellent	bagus sekali
fake	tidak benar
false	salah (1), palsu / buat/buatan (2)
far	jauh
fat	gemuk
fat	berlimpah
few	tidak banyak
final	pasti
financial	yang berhubungan dengan keuangan
firm	mantap
flat	datar
following	berikutnya
foreign	asing
former	dulu
fragile	mudah pecah
free	cuma-cuma
frequent	sering
fresh	segar
full	penuh
full	keseluruhan
further	lebih jauh
future	bentuk mendatang
general	umum
industrial	untuk industri
interesting	menarik
international	internasional
last	terakhir
late	terlambat
legal	legal
liquid	cair
local	lokal
loud	keras
low	rendah
lucky	mujur
main	utama
major	besar
many	banyak
metal	dari logam
military	militer
minute	kecil
modern	modern
more	lebih
much	banyak
narrow	sempit
natural	alami
necessary	perlu
next	berdampingan
no	tidak ada
normal	normal
opposite	seberang
original	asli
other	lain
own	milik
parallel	sejajar
particular	istimewa
past	yang lalu
personal	pribadi
physical	badaniah
political	politik
poor	miskin
popular	populer
possible	mungkin
present	hadir
previous	sebelumnya
private	pribadi
probable	bisa terjadi
professional	profesional
public	publik
quiet	diam
ready	siap
recent	mutakhir
regular	teratur
responsible	bertanggung jawab
rigid	kaku
rough	kasar
round	bundar
safe	aman
same	sama
second	kedua
secret	rahasia
separate	terpisah
serious	serius
set	menata sebelumnya
several	beberapa
short	pendek
silent	sunyi
simple	mudah
single	satu-satunya
small	kecil
smooth	halus
solid	padat
sparse	jarang
special	istimewa
specific	khusus
square	segi empat
standard	normal
sticky	lengket
straight	lurus
strange	aneh
stylish	anggun
sudden	mendadak
sweet	manis
tall	tinggi
thick	kental
thin	tipis
tight	ketat
true	benar
ugly	jelek
under	di bawah
usual	biasa
various	berbeda
warm	hangat
wet	basah
whole	seluruh
wide	lebar