Indonesian	﻿English
di sekitar	about
di atas	above
lagi	again
hampir	almost
sepanjang	along
sudah	already
selalu	always
kurang lebih	approximately
sebagai	as
sebelum	before
di belakang	behind
antara	between
melalui	by
langsung	directly
menuruni	down
awal	early
keduanya	either
cukup	enough
secara mutlak	exactly
akhirnya	finally
lebih dulu	first
biasanya	generally
sekarang	here
di sini	here
walaupun demikian	however
seketika	immediately
ke dalam	in
memang	indeed
di dalam	inside
larut	late
sesudah	later
paling kurang	least
sedikit	little
hanya	merely
tidak pernah	never
tidak	not
sekarang	now
terbukti	obviously
sering	often
sekali	once
di luar	outside
sangat	particularly
mungkin	possibly
mungkin	probably
dengan cepat	quickly
benar-benar	really
sangat	really
belum lama ini	recently
perlahan-lahan	slowly
demikian	so
sendiri	solely
kadang-kadang	sometimes
segera	soon
masih	still
seperti	such
pasti	surely
ketika itu	then
itu	there
karenanya	therefore
hari ini	today
bersama	together
besok pagi	tomorrow
malam ini	tonight
juga	too
biasanya	usually
benar-benar	very
sehat	well
