Indonesian	﻿English
tanpa susu	black
biru	blue
warna coklat	brown
abu-abu	gray
mentah	green
jingga	orange
merah muda	pink
merah	red
warna ungu	violet
putih	white
kuning	yellow
sepasang	couple
delapan	eight
delapan belas	eighteen
delapan puluh	eighty
sebelas	eleven
lima belas	fifteen
lima puluh	fifty
lima	five
empat puluh	forty
empat	four
empat belas	fourteen
satu juta	million
sembilan	nine
sembilan belas	nineteen
sembilan puluh	ninety
nol	nothing
satu	one
tujuh belas	seventeen
tujuh puluh	seventy
enam	six
enam puluh	sixty
sepuluh	ten
ketiga	third
tiga belas	thirteen
tiga puluh	thirty
seribu	thousand
seribu	thousand
tiga	three
lengan	arm
punggung	back
paruh	beak
darah	blood
tubuh	body
tulang	bone
otak	brain
napas	breath
sel	cell
dada	chest
dada	chest
dagu	chin
telinga	ear
mata	eye
wajah	face
jari	finger
kaki	foot
dahi	forehead
gen	gene
rambut	hair
bulu	hair
tangan	hand
kepala	head
jantung	heart
lutut	knee
kaki	leg
bibir	lip
mulut	mouth
otot	muscle
kuku	nail
leher	neck
saraf	nerve
hidung	nose
kulit	skin
lambung	stomach
ekor	tail
tenggorokan	throat
ibu jari	thumb
jari kaki	toe
lidah	tongue
gigi	tooth
sayap	wing
semut	ant
beruang	bear
lebah	bee
burung	bird
kucing	cat
sapi	cow
anjing	dog
gajah	elephant
ikan	fish
lalat	fly
kambing	goat
kuda	horse
serangga	insect
singa	lion
monyet	monkey
babi	pig
domba	sheep
ular	snake
petang	afternoon
usia	age
April	April
Agustus	August
musim gugur	autumn
awal	beginning
abad	century
tanggal	date
hari	day
Desember	December
akhir	end
sore	evening
Februari	February
Jumat	Friday
masa depan	future
jam	hour
Januari	January
Juli	July
Juni	June
mei	May
tengah malam	midnight
menit	minute
sekejap	moment
Senin	Monday
bulan	month
pagi	morning
malam	night
November	November
sekarang	now
Oktober	October
masa lalu	past
saat sela	pause
masa	period
Sabtu	Saturday
musim	season
detik	second
September	September
musim semi	spring
musim panas	summer
Minggu	Sunday
Kamis	Thursday
masa depan	tomorrow
Selasa	Tuesday
Rabu	Wednesday
minggu	week
akhir pekan	weekend
musim dingin	winter
tahun	year
roti	bread
sarapan	breakfast
mentega susu	butter
kue	cake
keju	cheese
coklat	chocolate
telur	egg
makanan	food
buah	fruit
makan siang	lunch
makanan	meal
daging	meat
minyak	oil
padi	rice
selada	salad
garam	salt
roti lapis	sandwich
saus	sauce
sup	soup
gula	sugar
kemanisan	sweet
bir	beer
kopi	coffee
minuman	drink
susu	milk
susu kocok	milkshake
teh	tea
air	water
anggur	wine
buah apel	apple
aberikos	apricot
pisang	banana
beri hitam	blackberry
ceri	cherry
jeruk	lemon
biji-bijian	nut
jeruk	orange
buah persik	peach
buah pir	pear
nenas	pineapple
buah zabib	plum
nama buah-buahan	raspberry
buah arbei	strawberry
kacang-kacangan	bean
kol	cabbage
wortel	carrot
mentimun	cucumber
bawang putih	garlic
zaitun	olive
bawang	onion
semacam wortel	parsnip
kentang	potato
lobak	radish
tanaman tomat	tomato
bayi	baby
kelahiran	birth
hari ulang tahun	birthday
anak laki-laki	boy
saudara laki-laki	brother
anak	child
anak perempuan	daughter
kematian	death
keluarga	family
ayah	father
teman	friend
anak perempuan	girl
kakek	grandfather
orang	human
suami	husband
masa hidup	life
pria	man
perkawinan	marriage
ibu	mother
tetangga	neighbor
orangtua	parent
orang	person
hubungan	relationship
saudara perempuan	sister
anak laki-laki	son
perkawinan	wedding
istri	wife
wanita	woman
alamat	address
kamar mandi	bathroom
kamar tidur	bedroom
bata	brick
pintu	door
lantai	floor
tingkat	floor
garasi	garage
kebun	garden
gerbang	gate
lobi	hall
tempat tinggal	home
rumah	house
dapur	kitchen
atap	roof
kamar	room
mandi dengan pancaran	shower
anak tangga	step
kamar kecil	toilet
tembok	wall
sumur	well
jendela	window
tempat tidur	bed
permadani	carpet
kursi	chair
lemari	cupboard
tirai	curtain
meja tulis	desk
perabotan	furniture
kursi	seat
rak	shelf
tempat cuci piring	sink
meja	table
tas	bag
sepatu bot	boot
kain	cloth
pakaian	clothing
mantel	coat
kerah	collar
topi	hat
jaket	jacket
batu mulia	jewel
cincin	ring
kemeja	shirt
sepatu	shoe
rok	skirt
kaus kaki	sock
kopor	suitcase
dasi	tie
hawa	air
hewan	animal
cabang	branch
evolusi	evolution
ladang	field
nyala	fire
bunga	flower
hutan	forest
rumput	grass
daun	leaf
kehidupan	life
kilat	lightning
kelembaban	moisture
alam	nature
tumbuhan	plant
akar	root
jenis kelamin	sex
langit	sky
tidur	sleep
bau	smell
uap	smoke
sumber	spring
batang	stem
arus	stream
pohon	tree
ombak	wave
cuaca	weather
dunia	world
lapangan terbang	airport
bank	bank
jembatan	bridge
gedung	building
ibu kota	capital
puri	castle
gereja	church
bioskop	cinema
kota	city
pabrik	factory
apartemen	flat
rumah sakit	hospital
hotel	hotel
perpustakaan	library
