English	Hindi
be	होना [honaa]
break	बांटना [baantanaa]
buy	खरीदना [khareedanaa]
close	बन्द हो जाना [band ho jaanaa]
come	आना [aanaa]
cut	चीरना [cheeranaa]
dance	नृत्य करना [nruty karanaa]
do	व्यवहार में लाना [vyavahaar men laanaa]
draw	चित्र बनाना [chitr banaanaa]
drink	पीना [peenaa]
eat	खाना [khaanaa]
fall	गिरना [giranaa]
find	पाना [paanaa]
fire	गोली चलाना [golee chalaanaa]
fly	उड़ाना [udaanaa]
follow	अनुसरण करना [anusaran karanaa]
forget	भूल जाना [bhool jaanaa]
give	देना [denaa]
hear	सुनना [sunanaa]
help	मदद करना [madad karanaa]
hope	आशा करना [aashaa karanaa]
jump	उछलना [uchhalanaa]
kiss	चूमना [choomanaa]
laugh	हंसना [hansanaa]
learn	सीखना [seekhanaa]
lie	लेटना [letanaa]
like	पसंद करना [pasand karanaa]
listen	सुनाई देना [sunaaee denaa]
look	देखना [dekhanaa]
lose	मिट जाना [mit jaanaa]
love	पसन्द करना [pasand karanaa]
make	करना (karnā)
meet	सामना होना [saamanaa honaa]
move	चलना [chalanaa]
need	मांगना [maanganaa]
offer	प्रदान करना [pradaan karanaa]
open	खोलना [kholanaa]
pay	दाम चुकाना [daam chukaanaa]
play	खेलना [khelanaa]
pull	खींचना [kheenchanaa]
push	दबाना [dabaanaa]
put	रखना [rakhanaa]
read	पढ़ना
remember	याद आना [yaad aanaa]
run	दौड़ाना [daudaanaa]
say	कहना [kahanaa]
sell	बेचना [bechanaa]
sing	गाना गाना [gaanaa gaanaa]
sit	बैठना [baithanaa]
smile	मुस्कराना [muskaraanaa]
take	लेना [lenaa]
talk	कहना [kahanaa]
understand	समझना [samajhanaa]
use	प्रयोग में लाना [prayog men laanaa]
wait	प्रतीक्षा करना [prateekshaa karanaa]
write	लिखना [likhanaa]
accept	स्वीकार करना [sveekaar karanaa]
accuse	आरोप लगाना [aarop lagaanaa]
achieve	पूरा करना [pooraa karanaa]
act	काम करना [kaam karanaa]
add	जोड़ना [jodanaa]
admit	स्वीकार करना [sveekaar karanaa]
agree	सहमत होना [sahamat honaa]
allow	संभव बनाना [sambhav banaanaa]
announce	घोषणा करना [ghoshanaa karanaa]
argue	बहस करना [bahas karanaa]
arrive	पहुंचना [pahunchanaa]
ask	पूछना [poochhanaa]
attack	धावा बोलना [dhaavaa bolanaa]
avoid	से बचना [se bachanaa]
be	जीवित रहना [jeevit rahanaa]
bear	ले जाना [le jaanaa]
beat	जीतना [jeetanaa]
become	बनना [bananaa]
bring	पहुंचाना
build	बनाना [banaanaa]
call	टेलीफोन करना [teleephon karanaa]
carry	ढोना [dhonaa]
change	बदल देना [badal denaa]
choose	चुनना [chunanaa]
classify	वर्गीकरण करना [vargeekaran karanaa]
clean	साफ करना [saaph karanaa]
compare	समानता [samaanataa]
contain	से युक्त होना [se yukt honaa]
continue	जारी रहना [jaaree rahanaa]
cook	पकाना [pakaanaa]
copy	प्रतिलिपि बनायें
cough	खांसना
crush	मसलना [masalanaa]
cry	रोना [ronaa]
decide	निर्णायक होना
describe	वर्णन करना [varnan karanaa]
desire	चाहना [chaahanaa]
develop	तस्वीर साफ करना
die	मरना [maranaa]
discover	खोजना करना
discuss	चर्चा करना [charchaa karanaa]
divide	विभाजन [vibhaajan]
doubt	संदेह करना
drive	हांकना [haankanaa]
embrace	समावेश करना [samaavesh karanaa]
encourage	उत्साहित करना [utsaahit karanaa]
end	पूर्ण करना [poorn karanaa]
enhance	बढ़ाना [badhaanaa]
enter	भीतर आना
estimate	अंदाज लगाना
exceed	सिर से ऊपर चला जाना
exist	अस्तित्व होना [astitv honaa]
expect	आशा रखना [aashaa rakhanaa]
explain	समझाना [samajhaanaa]
fill	भरना [bharanaa]
find	पकड़ पाना
forgive	क्षमा करना [kshamaa karanaa]
free	मुक्त करना [mukt karanaa]
grow	बढ़ना [badhanaa]
happen	घटित होना [ghatit honaa]
hate	घृणा करना [ghrunaa karanaa]
hide	छिपाना [chhipaanaa]
hold	मजबूती से पकड़ना
identify	पहचानना [pahachaananaa]
include	सम्मिलित करना [sammilit karanaa]
injure	घायल करना [ghaayal karanaa]
introduce	परिचय कराना [parichay karaanaa]
join	संयुक्त करना [sanyukt karanaa]
keep	किसी विशेष स्थिति में बनाए रखना
kick	लात मारना [laat maaranaa]
kill	मारना [maaranaa]
land	उतरना [utaranaa]
last	जीवित रहना [jeevit rahanaa]
lead	चलाना [chalaanaa]
leave	छोड़ जाना
let	किराये पर देना [kiraaye par denaa]
lift	ऊपर उठाना [oopar uthaanaa]
limit	सीमा बद्ध करना
load	जिम्मेदारी सौंपना [jimmedaaree saumpanaa]
look	तलाशना
lose	खो देना [kho denaa]
manage	चलाना [chalaanaa]
marry	विवाह करना [vivaah karanaa]
