Hindi	﻿English
प्रत्येक व्यक्ति [pratyek vyakti]	everybody
सब कुछ [sab kuchh]	everything
वह (vah), (yah)	he
उसका [usakaa]	her
खुद को	herself
उसका [usakaa]	his
वह (vah), यह (yah)	it
मुझको [mujhako]	me
मेरा [meraa]	my
हमारा [hamaaraa]	our
वह स्त्री	she
उनका (unkā)	their
उन्हें [unhen]	them
वे [ve]	they
यह (yaha), इस (isa)	this
हमें [hamen]	us
हम [ham]	we
क्या [kyaa]	what
जब [jab]	when
कौनसा (kaunsā)	which
कौनसा (kaunsā)	which
कौन [kaun]	who
जिसको	whom
किसका (kiskā)	whose
तू (tū), तुम (tum)	you
तेरा (terā), आपका (āpkā)	your
