Latin	﻿English
omnes	everybody
totus (m), tota (f)	everything
is, ille	he
sua (f), suus (m)	her
suus, eius	his
id, hoc	it
me	me
meus	my
noster	our
ea, illa	she
hic	that
suus (m), sua (f)	their
ei (m), eae (f)	they
hic (m), haec (f)	this
nos	we
quid	what
quando	when
qualis (m), quale (n)	which
qualis (m), quale (n)	which
qui	who
cuius, quorum (m)	whose
tu, vos	you
