English	Latin
everybody	omnes
everything	totus (m), tota (f)
he	is, ille
her	sua (f), suus (m)
his	suus, eius
it	id, hoc
me	me
my	meus
our	noster
she	ea, illa
that	hic
their	suus (m), sua (f)
they	ei (m), eae (f)
this	hic (m), haec (f)
we	nos
what	quid
when	quando
which	qualis (m), quale (n)
which	qualis (m), quale (n)
who	qui
whose	cuius, quorum (m)
you	tu, vos
your	tuus (m)