English	Korean
another	또 하나의 [tto hanaui]
bad	서투른 [seotureun]
basic	기초의 [gichoui]
beautiful	아름다운 [areumdaun]
best	최상의 [choesangui]
better	더 나은 [deo naeun]
big	큰 [keun]
clean	깨끗한 [kkaekkeuthan]
cold	차가운 [chagaun]
correct	틀림이 없는 [teulrimi eoptneun]
dark	어두운 [eoduun]
difficult	어려운 [eoryeoun]
dirty	부정한 [bujeonghan]
fast	빠른 [ppareun]
good	얌전한 [yamjeonhan]
great	위대한 [widaehan]
great	유쾌한 [yukwaehan]
happy	행복한 [haengbokhan]
healthy	건강한 [geonganghan]
heavy	무거운 [mugeoun]
hot	뜨거운 [tteugeoun]
important	중요한 [jungyohan]
left	왼쪽의 [oenjjokui]
light	가벼운 [gabyeoun]
near	가까운 [gakkaun]
new	새로운 [saeroun]
nice	좋은 [joheun]
real	실재하는 [siljaehaneun]
right	오른쪽의 [oreunjjokui]
sharp	예민한 [yeminhan]
slow	느린 [neurin]
soft	부드러운 [budeureoun]
strong	뚜렷한 [tturyeothan]
weak	힘이 없는 [himi eoptneun]
wrong	잘못된 [jalmotdoen]
ago	전에 [jeone]
any	어느 [eoneu]
automatic	자동의 [jadongui]
available	이용할 수 있는 [iyonghal su itneun]
bitter	괴로운 [goeroun]
boring	지루한 [jiruhan]
broken	깨진 [kkaejin]
central	중심적인 [jungsimjeokin]
certain	틀림 없는 [teulrim eoptneun]
cheap	싼 [ssan]
clear	맑은 [malkeun]
closed	닫힌 [dathin]
common	흔한 [heunhan]
common	공통의 [gongtongui]
complete	완전한 [wanjeonhan]
conscious	알고 있는 [algo itneun]
cruel	잔인한 [janinhan]
dangerous	위험한 [wiheomhan]
delicate	섬세한 [seomsehan]
deplorable	슬픈 [seulpeun]
different	다른 [dareun]
different	닮지 않은 [dalmji anheun]
down	아래로 [araero]
dry	마른 [mareun]
each	각각의 [gakgakui]
early	이른 [ireun]
easy	쉬운 [swiun]
economic	경제상의 [gyeongjesangui]
economic	검소한 [geomsohan]
electric	전기의 [jeongiui]
equal	똑같은 [ttokgateun]
even	대등한 [daedeunghan]
every	어느 것이나 모두 [eoneu geotina modu]
excellent	뛰어난 [ttwieonan]
fake	거짓의 [geojitui]
far	먼 [meon]
fat	뚱뚱한 [ttungttunghan]
fat	큰 [keun]
few	소수의 [sosuui]
final	최종의 [choejongui]
firm	단단한 [dandanhan]
flat	평평한 [pyeongpyeonghan]
following	그 다음의 [geu daeumui]
foreign	외국의 [oegukui]
former	이전의 [ijeonui]
fragile	주의를 요하는 [juuireul yohaneun]
free	무료의 [muryoui]
frequent	잦은 [jateun]
fresh	싱싱한 [singsinghan]
full	가득 찬 [gadeuk chan]
full	전체의 [jeoncheui]
future	미래의 [miraeui]
general	일반적인 [ilbanjeokin]
industrial	산업의 [saneopui]
international	국제적인 [gukjejeokin]
last	마지막의 [majimakui]
late	늦다, 지각하다
legal	합법적인 [hapbeopjeokin]
local	지역의 [jiyeokui]
loud	큰 소리를 내는 [keun sorireul naeneun]
low	적은 [jeokeun]
lucky	운이 좋은 [uni joheun]
main	제1위의
major	큰 쪽의 [keun jjokui]
many	많은 [manheun]
metal	금속(질)의
military	군인의 [guninui]
minute	미소한 [misohan]
modern	현대적인 [hyeondaejeokin]
more	여분의 [yeobunui]
much	많은 [manheun]
narrow	좁은 [jopeun]
natural	자연의 [jayeonui]
necessary	필요한 [pilyohan]
next	인접한 [injeophan]
normal	정상적인 [jeongsangjeokin]
opposite	반대쪽의 [bandaejjokui]
original	본래의 [bonraeui]
parallel	평행의 [pyeonghaengui]
particular	특별한 [teukbyeolhan]
past	방금 지난 [banggeum jinan]
personal	개인의 [gaeinui]
physical	육체의 [yukcheui]
poor	가난한 [gananhan]
popular	이해하기 쉬운 [ihaehagi swiun]
possible	있을 수 있는 [iteul su itneun]
present	있는 [itneun]
previous	이전의 [ijeonui]
private	개인적인 [gaeinjeokin]
probable	있음직한 [iteumjikhan]
professional	직업적인 [jikeopjeokin]
public	대중의 [daejungui]
quiet	조용한 [joyonghan]
ready	준비된 [junbidoen]
recent	최근의 [choegeunui]
regular	일정한 [iljeonghan]
responsible	책임을 지는 [chaekimeul jineun]
rigid	굳은 [guteun]
rough	난폭한 [nanpokhan]
round	둥근 [dunggeun]
safe	안심할 수 있는 [ansimhal su itneun]
same	동일한 [dongilhan]
second	두번째의 [dubeonjjaeui]
secret	비밀의 [bimilui]
separate	분리된 [bunridoen]
serious	엄숙한 [eomsukhan]
several	몇몇의 [myeocmyeocui]
short	짧은 [jjalpeun]
silent	조용한 [joyonghan]
silver	은빛의 (eunbichui)
simple	쉬운 [swiun]
single	단 하나의 [dan hanaui]
small	작은 [jakeun]
smooth	매끄러운 [maekkeureoun]
solid	고체의 [gocheui]
sparse	성긴 [seonggin]
special	특별한 [teukbyeolhan]
specific	특정의 [teukjeongui]
square	모난 [monan]
standard	표준의 [pyojunui]
sticky	점착성의 [jeomchakseongui]
straight	곧은 [goteun]
strange	생소한 [saengsohan]
stylish	우아한 [uahan]
sudden	돌연한 [dolyeonhan]
sweet	단 [dan]
tall	키가 큰 [kiga keun]
thick	걸쭉한 [geoljjukhan]
thin	얇은 [yalpeun]
tight	꽉 끼는 [kkwak kkineun]
true	진실의 [jinsilui]
ugly	추악한 (chuakhan)
under	아래에 (araee)
usual	흔한 [heunhan]
various	다른 [dareun]
warm	따뜻한 [ttatteuthan]
wet	젖은 [jeoteun]
whole	전...
wide	넓은 [neolpeun]