Korean	﻿English
주위에 [juwie]	about
...보다 높이	above
다시 한 번 [dasi han beon]	again
거의 [geoui]	almost
...을 따라서	along
이전에 [ijeone]	already
항상 [hangsang]	always
대략 [daeryak]	approximately
뒤에 [dwie]	behind
사이에 [saie]	between
바로 [baro]	directly
아래로 [araero]	down
초기에 [chogie]	early
양쪽의 [yangjjokui]	either
충분한 [chungbunhan]	enough
바로 [baro]	exactly
결국 [gyeolguk]	finally
맨 처음 [maen cheoeum]	first
대체로 [daechero]	generally
이 점에서 [i jeomeseo]	here
이리로 [iriro]	here
그럼에도 불구하고 [geureomedo bulguhago]	however
곧 [got]	immediately
정말로 [jeongmalro]	indeed
...의 안쪽에	inside
대신에 [daesine]	instead
가장 적게 [gajang jeokge]	least
적은 [jeokeun]	little
단지 [danji]	merely
더 (deo)	more
...아니다	not
분명하게 [bunmyeonghage]	obviously
자주 [jaju]	often
일찌기 [iljjigi]	once
특히 [teukhi]	particularly
제발 (jebal)	please
아마 [ama]	possibly
빨리 [ppalri]	quickly
정말로 [jeongmalro]	really
대단히 [daedanhi]	really
최근에 [choegeune]	recently
느리게 [neurige]	slowly
그와 같이 [geuwa gati]	so
이따금 [ittageum]	sometimes
곧 [got]	soon
여전히 [yeojeonhi]	still
그러한 [geureohan]	such
갑자기 (gapjagi), 급격하게 (gapgyeokhage)	suddenly
틀림없이 [teulrimeopti]	surely
그 때 [geu ttae]	then
이봐 [ibwa]	there
그 결과 [geu gyeolgwa]	therefore
오늘 [oneul]	today
함께 [hamkke]	together
내일 [naeil]	tomorrow
오늘밤 [oneulbam]	tonight
또한 [ttohan]	too
위에 (wie), 위로 (wiro)	up
보통 [botong]	usually
정말로 [jeongmalro]	very
기분좋은 [gibunjoheun]	well
