English	Korean
suffer	괴로와하다 (koerowahada)
suggest	제안하다 [jeanhada]
supply	공급하다 [gonggeuphada]
support	후원하다 [huwonhada]
surprise	...을 불시에 덮치다
taste	맛을 보다 [mateul boda]
teach	가르치다 [gareuchida]
test	시험하다 [siheomhada]
thank	사의를 표하다 [sauireul pyohada]
throw	던지다 [deonjida]
trade	장사하다 [jangsahada]
train	훈련하다 [hunryeonhada]
travel	가다 [gada]
treat	다루다 [daruda]
try	시도하다 [sidohada]
turn	회전시키다 [hoejeonsikida]
visit	방문하다 [bangmunhada]
walk	걷다 [geotda]
warm	따뜻하게 하다 [ttatteuthage hada]
wash	빨다 [ppalda]
watch	...을 보다
wear	...을 몸에 걸치다
weigh	무게가 ...이다
win	...에 이기다
wish	원하다 [wonhada]