English	Sanskrit
girl	बाला (f) (bālā)
go	एति (éti)
god	देवः (devaḥ); सुरः (suraḥ)
gold	सुवर्ण (n) (suvarṇa)
goose	हंस (m) (haṃsá)
grammar	व्याकरण (n) (vyākaraṇa)
grape	draakshaa sg, draaksaa pl (f)
hair	केश 
hairless	अकेश (akeśa)
hand	हस्त (m) (hasta)
happy birthday	शुभं जन्मदिनम् (śubhaṃ janmadinam)
have sex	यभति (yabhati)
heart	हृदय (n) (hṛdaya)
helium	हीलियम
hell	नरक (naraka)
hello	नमस्कार (namaskāram); नमस्ते (namaste)
history	इतिहास (m) (itihāsa)
homosexual	समलिङ्गकामिन् (samaliṅgakāmin)
honey	मधु (madhu)
horn	शृङ्ग (n) (śṛṅga)
horse	अश्व (m) (áśva); घोटक (m) (ghoṭaka); तुरग (m) (turá-ga); अर्वन् (m) (árvan); हय (m) (háya)
hospital	चिकित्सालय (m) (cikitsālaya)
human	मनुष्य (manuṣya)
human being	मनुष्य (manuṣya)
hundred	शततमः (śatatamaḥ)
hungry ghost	प्रेत
hunter	लुब्धक (lubdhaka)
hydrogen	हाइड्रोजन
important	अत्यावश्यक
incense	धूपं, (dhUpam)
international	अन्ताराष्ट्रिय (antārāṣṭrīya)
intransitive	अकर्मक (akarmaka)
iron	लोह (loha)
is	अस्ति (asti)
island	जलवेष्टितभूमिः
joy	हर्ष (m) (harṣa)
king	राजा (m) (rājā); केसरी (m) (kesarī)
king of beasts	राजा पशूनाम् (rājā paśūnām)
knee	जानु (n) (jānu)
lakh	लक्षं (lakṣaṇ)
land	भूमि (bhūmi)
language	भाषा (f) (bhāṣā)
layer	धातु (m) (dhātu)
lazy	अलसः (alasaha)
leg	पाद (pāda)
letter	वर्ण (m) (várṇa)
life	जीवनं; जीवित (n) (jīvitá)
lighthouse	दीपस्तंभः (dīpastaṃbhah)
linguistics	भाषाविज्ञान (m) (bhāṣāvijñāna)
lion	केसरी (kesarī); सिंह (m) (siṃha)
lioness	सिंहा (f) (siṃhā)
lithium	लिथियम
little	अल्प (álpa)
liver	यकृत् (yakṛt)
lizard	मुषली
love	प्रीतिः (prītiḥ)
lute	तन्त्री (tantrī)
make love	विवाहार्थं प्रार्थयते (vivāhārthaṃ prārthayate)
many	बहु (bahu)
marijuana	गञ्जा (f) (gañjā)
masculine	पुंलिङ्ग (puṃliṅga)
masturbate	ह्स्त्मैथुन (hastmaithun)
masturbation	हस्तमैथुन (m) (hastamaithuna)
mathematics	गणितं
maund	मानः (man)
meal	भोजन (bhojan)
message	संदेश (m) (saṃdeśa)
milk	दुग्ध (dugdh); क्षीर (kšīr)
million	दशलक्षं (daśalakṣa)
mirror	दर्पण (darpaṇa)
mix	mih (to pour), miks (to mix)
monastery	मठ (maṭha)
money	धनः (dhanaḥ); अर्थः (arthaḥ)
monkey	वानरः (vānarah) (g'sa)
moon	चन्द्र 
mother	मातृ (f)
mountain	गिरी (girī) (g'sa)
mouth	आस् (n) (ās)
much	बहु (bahu)
mudra	मुद्रा (f) (mudrā)
mummy	अम्बा 
mushroom	छत्राकम् (chatrākam)
music	सङ्गीत (n) (saṅgīta)
my name is	मम नाम... (mama naama)
nail	नख 
name	नामन् (n) (nā́man)
national	राष्ट्रीय (rāṣṭrīya)
navel	नाभि (f) (nābhi)
neuter	नपुंसाकलिङ्ग (napuṃsākaliṅga)
night	रात्रिः (rātriḥ); क्षप् (f) (kṣáp)
nightmare	दुःस्वप्न (m) (duḥsvapna)
nine	नवम् (návam)
nineteen	ऊनविंशति (ūnaviṃśáti), नवदशन् (návadaśan)
ninety	(<u>s</u>á<u>nn</u>avati)
nirvana	निर्वाण (nirvāṇa)
no	न (na)
north	उत्तर (m) (uttara)
nose	नासिका (nāsikā)
not	न (na)
noun	नामन् (n) (nā́man)
nutmeg	jatiphala (f)
object	कर्म (karma)
om	ॐ (IAST 'oṃ')
omniscient	सर्वविद्य (sarvavidya)
once upon a time	पुराकाले (pūrākāle); कदाचित् (kadājit)
one	एक (éka)
oxygen	अम्लकरः
page	पृष्ठ (parṣṭha)
penis	शिश्न (n) (śiśna)
period	।; दंड (m) (daṇḍá)
pine	सरला (sárala)
planet	ग्रह (graha)
plough	हल (m) (hal)
poetry	कविता (kavitā)
poison	विष (viṣa)
polygon	बहुकोणः (bahukoṇa)
pomegranate	दन्तबीज (m) (dantabīja)
poor	अदानः (adānaḥa)
potato	आलू (ālū)
pregnant	गर्भवती (garbhavatī)
previously	प्रथमम् (prathamám)
prime minister	प्रधानमन्त्रिन् (pradhānamantrin)
pundit	पण्डित (m) (paṇḍitá)
queen	राज्ञी (f) (rājñī)
queen of beasts	राज्ञी पशूनाम् (rājñī paśūnām)
rain	वृष्टि (f) (vṛṣṭí); वर्षा (f) (varṣā́); पर्जन्य (m) (parjánya)
rajah	राजा (rājā)
rare	विरल (viral)
refrigerator	शीतकपाटगृह (šītkapātgrūha)
religion	धर्म (m) (dharma)
rice	ताणडुल
river	नदी 
rose	षतपुष्पि (ṣatapuṣpi)
rupee	रूप्यकम् (rupyakam)
saffron	केसर (n)
salt	लवण (n) (lavaṇa)
sandalwood	चन्दन (ćandana) (m)
sandhi	संधि (saṃ-dhí)
sari	षाटी (ṣāṭī)
scholar	पण्डित (m) (paṇḍit)
school	विद्यालय (vidyālaya)
scorpion	वृश्चिक (m) (vṛścika)
scrotum	अण्डकोष (aṇḍakoṣa)
sea	समुद्र
second person	मध्यमपुरुष
see	वेत्ति (vetti)
semen	रेतस् (n) (retas)
seven	सप्तन् (saptán)
seventeen	saptádashan
seventh	सप्तम
seventy	(a<u>st</u>asaptati, a<u>st</u>aasaptati)
sexy	शृङ्गारिन् (śṛiṅgārin)
sheep	अवि (m)
shepherd	अविपाल (m)
side	पृष्ठ (parṣṭha)
sin	पाप (m) (pāpá)
six	षष् (ṣáṣ), (षण् (unicode'(ṣaṇ)), shasta- ('prefix').)
sixteen	(sódashan)
sixth	षष्ठ
sixty	(saptá<u>s</u>a<u>st</u>i)
skull	कपालः
slave	दास (m) (dāsa)
small	अल्प (álpa)
snake	सर्प (m) (sarpa)
soap	फेनकम्
sodomy	तिर्यग्योनिगमन (n) (tiryagyonigamana)
son	पुत्र (m) (putrá)
sound	स्वर (m) (svára); शब्द (m) (śabda); ध्वन् (m) (dhvan); नाद (m) (nāda)
spank	तडयति (tadayati)
spanking	ताडन (tādana)
spring	कुसुमाकरः (kusumākaraḥ)
stevia	Madhu Patra
strength	शक्तिः (f) (śaktiḥ)
sugar	शर्करा (f) (śárkarā)
summer	ऊष्ण (ūṣṇa)
sunflower	सूर्यमुखी (sūryamukhī) (f)
swastika	स्वस्तिक (m) (svástika)
sword	कृपाण 
telephone	दूरभाषं (dūrabhāṣan)
temple	देवालयः (dēvālayah)
ten	(dashan), दश (daśa)
thank you	अनुगुरिहीतोसुमि (anugurihītosumi); धन्यवादः (dhan'yavādaḥ)
thing	वस्तु (m) (vastu)
third person	प्रथमपुरुष (m) (prathamá-puruṣa)
thirteen	त्रयोदश 
thirty	(saptátri'm'shat)
thousand	सहस्र (sahasra)
three	त्रि (tri), त्रयं (traya)
thunderbolt	(l'sa'नरक) or (l'sa'वज्र) ('vajra') "thunderbolt," (also means "diamond")
tiger	व्याघ्र (m)
tongue	जिह्वा (f) (jihvā)
tooth	दन्त (m) (danta)
tourism	पर्यटन
town	नगर (n) (nágara)
treasure	कोश (m) (kośa)
tree	तरु (m) (taru); द्रुम (m) (druma); वृक्ष (m) (vṛkṣá); कुज (m) (ku-ja)
truth	सत्य (n) (satya)
twelve	dvaadashan (rfscript'Deva)
twenty	ऊनत्रिंशत् (ūnatriṃśát)
two	द्वि (dvi)
unseasonable	अकाल (akāla)
valley	उपत्यका (upatyakā)
vice	व्यसन (n) (vyasana-)
virama	विराम (virāma); ्
visarga	विसर्ग (visarga); ः
vixen	लोमज़िक (lomazika)
vowel	स्वर (m) (svará)
water	जल (jal); अंब (amba)
wave	तरंग (m)
weaver	तंतुवाय
welcome	स्वागतम (svāgatam)
white	श्वेत (śveta)
whore	रूपाजीवा
widow	विधवा (vidhavā)
wind	वातः (vātaḥ); वायुः (vāyuḥ); अनिलः (anilaḥ); पवनः (pavanaḥ)
winter	हिम (m) (himá); हेमन्त (m) (hemanta)
word	शब्द (m) (śábda)
world	शब्दः (śabdaḥ)
worthless	असार (asār)
write	लिख्
year	वर्षम् (varṣam)
yellow	हरिद्राभः (haridramaḥ)
yesterday	ह्यस् (hyas)
yoga	योग (m) (yóga)
yoke	युग (n) (yugá)
