English	Norwegian
lead	bly
leaf	ark (n)
leap	sprang; hopp; hoppe
leap year	skuddår (n)
learn	lære
least weasel	snømus
leave	forlate
leek	purre; purreløk
left	venstre
leg	bein (n)
lemon	sitron (m)
lemon balm	hjertensfryd, sitronmelisse
length	lengde
leopard	leopard (m)
lesbian	lesbe (m)
lesser spotted woodpecker	dvergspett
lesson	lekse, lærepenge, undervisningstime
letter	brev (n)
liar	løgner (m); løgnhals (m)
library	bibliotek (n)
lie	lyve; ljuge
life	liv (n)
light	lett
light bulb	lyspære (m)
light year	lysår
lightning	lynglimt; blink
like	lik; som
limestone	kalkstein
linguistics	lingvistikk
lion	løve (m)
lioness	løvinne
lip	leppe
lipstick	leppestift
listen	høre
literature	litteratur
lithium	litium
little	liten; liten
little finger	lillefinger (m)
little owl	kirkeugle
live	bo
lizard	øgle (f); firfisle
lobster	hummer
logic	logikk (m)
long	hornugle
look	se; skue
louse	lus
love	elske med
lukewarm	lunken
lunch	lunsj
lung	lunge; lunga (f)
lute	lutt (m)
lutetium	lutetium
lynx	gaupe
machine gun	maskingevär
machine language	maskinkode
mackerel	makrell
mad	gal; sprø
magma	magma
magnesium	magnesium
maize	mais (m)
mallard	stokkand
mammal	pattedyr (n)
man	menneske (n)
manganese	mangan
many thanks	tusen takk
maple	lønn
mare	hoppe (f)
market	marked (n); markedsplass (m)
marmot	murmeldyr
marriage	ekteskap (n); giftemål (n)
marsh	mersk (m)
marten	mår
masturbate	masturbere
masturbation	onanering
match	fyrstikk (m)
maternal aunt	tante (m); moster (m)
maternal grandfather	bestefar; morfar
mathematics	matematikk
maybe	kanskje
me	meg
meal	måltid
meat	kjøtt (n)
medicine	medisin (m)
meitnerium	meitnerium
melon	melon
memory	hukommelse (m); minne (n)
mendelevium	mendelevium
meow	mjau
mercury	kvikksølv
mermaid	havfrue (m)
message	melding (m)
metal	metall (n)
meter	meter (m)
metre	meter (m)
middle finger	langfinger (m)
midwife	jordmor (m),(f)
mill	mølle (m); mylna (f)
million	million (m)
millipede	tusenbein
mind	forstand (m); intellekt (n)
mine	mine (m)
mineralogy	mineralogi
mint	mynt
minute	minutt (n)
miracle	mirakel (n); under (n); underverk (n)
mistake	feil (m); tabbe (m)
moat	vollgrav
mobile phone	mobiltelefon (m); mobil (m)
mole	føflekk (m)
molecule	molekyl (n)
molybdenum	molybden
monarchy	kongedømme (n); monarki (n)
monastery	kloster (n)
money	penger
monk	munk (m)
monster	monster (n); uhyre (n)
month	måned
moon	månen (m)
mosque	moské (m)
mosquito	mygg (m)
moth	nattsvermer (m)
mother	svigermor (f)
mother tongue	morsmål (n)
motorcycle	motorsykkel
mouflon	mufflon
mouse	mus (m); datamus (m)
moustache	bart (m); mustasje (m)
mouth	munn (m); kjeft
much	mye
mud	søle (f); gjørme (f); leire (m)
mule	muldyr (n)
murder	overlagt; drap (n)
murderer	morder (m)
muscle	muskel
museum	museum
mushroom	sopp
music	musikk (m)
musical instrument	musikkinstrument (n)
muskrat	bisamrotte
must	måtte
mustard	sennep 
my	min (m); mi (f); mitt (n); mine
my name is	jeg heter...; mitt navn er...
mystery	mysterium (n)
nail	spiker (m)
naked	naken
name	navn (n); ry (n)
narrow	smal
nation	nasjon (m)
nationalism	nasjonalisme
nature	natur (f)
navel	navle (m)
navy	marine (m)
necessary	nødvendig
neck	hals (m)
necklace	halsbånd (n)
necktie	slips (n)
need	trenge
needle	nål (m); strikkepinne (m) 
neighbour	nabo (m)
neodymium	neodym
neon	neon
neptunium	neptunium
neutrino	neutrino (m)
never	aldri
new	ny
newspaper	avis
next	neste
nickel	nikkel
night	natt (m)
nightingale	sørnattergal
nightmare	mareritt (n)
nine	ni
nineteen	nitten
ninety	nitti
niobium	niob
nipple	patte (f)
nit	gnett
nitrogen	nitrogen
no	forbudt (preceded by a verbal noun)
no one	ingen
no smoking	røyking forbudt
nobelium	nobelium
nobody	ingen
non	ikke-statlig organisasjon
nonkilling	ikkedrap
north	nord
notebook	skrivebok
nothing	ingenting; inget
noun	substantiv (n)
nude	naken
number	antall; tall
nurse	sykesøster (f); pleier (m); pleierske (m)
nut	nøtt; nòt (f)
nutcracker	nøtteknekker
oak	eik (f)
oak tree	eik (f)
oar	åre
oat	havre (m)
oath	ed (m)
obedience	lydighet
obesity	fedme
object	objekt (n); ting (m); gjenstand (m)
oboe	obo (m)
octopus	blekksprut (m); akkar (m)
oesophagus	øsofag (m)
of	av; til; -s
of course	selvsagt; naturligvis; selvfølgelig
office	kontor (n)
often	ofte; hyppig
oil	olje (m); petroleum (m)
old	gammel
olive	oliven
omelette	omelett (m)
once upon a time	det var en gang
onion	løk (m)
open	åpne; lukke opp
operating system	operativsystem
opinion	mening; synspunkt (n)
or	eller
orange	appelsintre (n)
order	ordre (m)
ore	malm
organ	organ
orgasm	orgasme
orphan	foreldreløst barn
osmium	osmium
other	annen (m); anna (f); annet (n); andre
otter	oter
our	vår
ovary	eggstokk
owl	ugle
oxygen	oksygen; surstoff
oyster	østers (m)
paint	maling; lakk
palace	palass (n)
palladium	palladium
palm	håndflate
pancake	pannekake
pancreas	bukspyttkjertel (m)
paper	papir; ark
paradox	paradoks
parents	foreldre
park	park
parliament	Stortinget
parrot	papegøye (m)
part	del (m)
particle physics	partikkelfysikk
partridge	rapphøne
party	parti (n)
password	passord
paternal aunt	tante (m); faster (m)
paternal grandfather	bestefar; farfar
patient	pasient (m)
pawn	bonde (m)
peace	fred; stillhet (n); ro
peach	fersken (m)
peacock	påfugl (m)
peanut	peanøtt (f); jordnøtt (f)
pear	pæretre (n)
pearl	perle
pen	penn (m)
pencil	blyant
penguin	pingvin (m)
penicillin	penicillin
peninsula	halvøy (f)
penis	penis; pikk
people	folk (n)
peregrine falcon	vandrefalk
perestroika	perestrojka
perhaps	kanskje; muligens
perineum	mellomkjøtt (n); perineum
periodic table	periodesystemet (n)
person	person (m); menneske (n)
petrol	bensin (m)
pharaoh	farao (m)
pharmacy	apotek (n)
pheasant	fasan (m)
philosopher	filosof (m)
phoenix	føniks (m); ildfugl (m)
phosphorus	fosfor
photography	fotografi
physics	fysikk (m)
piano	piano (n)
picture	maleri (n)
pie	pai (m)
piece	stykke (n)
pig	svin (n); gris (m)
piglet	grisunge (m); pattegris (m)
pillow	pute
pimp	hallik (m)
pimple	kvise
pin	knappenål
pineapple	ananas (m)
pink	rosa
pirate	pirat (m)
pizza	pizza
place	sted (n)
planet	planet (m)
plant	plante (f)
platinum	platina
platypus	nebbdyr
please	vær så snill
pleasure	fornøyelse (m)
plough	pløye
plutonium	plutonium
pocket	lomme
poem	dikt 
poison	gift (m)
polar bear	isbjørn (m)
polecat	ilder
police	politi (m)
polite	høflig
politician	politiker (m)
politics	politikk (m)
polonium	polonium
polygon	polygon
poor	fattig; blakk 
pope	pave (m)
poppy	valmue (m)
porcupine	hulepinnsvin
pornographic	pornografisk
pornography	pornografi (m)
positron	#Norwegian'positron
post office	postkontor (n); posthus (n)
postcard	brevkort
postcode	postnummer
postmodernism	postmodernisme
potassium	kalium
potato	potet (m)
pound	pund (n)
poverty	fattigdom
power	makt; innflytelse
praseodymium	praseodym
pray	be
prayer	bønn
pregnancy	svangerskap
pregnant	gravid; svanger 
preposition	preposisjon (m)
prepuce	forhud (m)
president	president (m)
pretty	pen; vakker
price	pris
priest	prest
prime minister	statsminister (m)
prime number	primtall
prince	prins (m)
prison	fengsel (n)
problem	problem (n)
programming language	programmeringsspråk (n)
promethium	promethium
pronoun	pronomen
pronunciation	uttale (m)
property	eiendom (m); løsøre (n); lausøyre (m)
prophet	profet (m)
prostitute	prostituert (m)
protactinium	protactinium
protect	sikre; dekke; gardere
proton	proton
proverb	ordtak
pulsar	pulsar (m)
pumice	pimpstein
pupil	elev (m)
purgatory	skjærsilden; purgatoriet
purple	lilla; fiolett
push	dytte; skubbe
pussy	fitte; kuse; mus
quail	vaktel (m)
queen	dronning (f)
question	spørsmål
question mark	spørsmålstegn (n)
quickly	fort
quiet	stille
quotation marks	anførselstegn, gåseauge [«◌»] 'or' [„◌”]
rabbit	kanin (m)
raccoon	vaskebjørn (m)
racism	rasisme (m)
radon	radon (n)
railway	jernbane (m)
rain	regne
rainbow	regnbue
rake	rake (m)
ram	saubukk (m) 
rape	voldtekt
raspberry	bringebærbusk (m)
rat	rotte (f)
raven	ravn
read	lese
reason	grunn
recent	nylig
recipe	oppskrift
red	rød
red deer	hjort
refrigerator	kjøleskap (n)
reindeer	reinsdyr (n)
religion	religion (m); trosretning (m)
reptile	reptil (n); krypdyr
republic	republikk (m)
respect	respekt
restaurant	restaurant (m)
revenge	hevn
rhenium	rhenium
rhodium	rhodium
rice	ris (m)
rich	rik
right	rett; rettighet
ring	ring (m)
ring finger	ringfinger (m)
river	flod (m); elv (m); å (m)
road	vei (m); veg (m)
robot	robot
rock	stein (m)
rock dove	klippedue
rodent	gnager (m)
roe deer	rådyr (n)
roof	tak (n)
rook	tårn
room	rom (n); plass (m)
rooster	hane (m)
root	rot
rope	tau (n)
rose	rose (f)
rubidium	rubidium
run	løpe; springe
ruthenium	ruthenium
rutherfordium	rutherfordium
rye	rug (m)
sack	sekk (m); pose (m)
sacrifice	offer (n)
sad	trist; lei seg
sailing ship	seilskip (n)
sailor	matros (m), sjømann (m), seiler (m)
salary	lønn
saliva	spytt (n)
salmon	laks (m)
salt	salt (n); bordsalt (n)
samarium	samarium
same	samme
sand	sand (m)
sandwich	sandwich; smørbrød
sapphire	safir (m)
sauce	saus (m)
sausage	pølse
save	redde
scales	vekt (f)
scandium	scandium
scar	arr (n)
scarlet	skarlagen (n)
schizophrenia	schizofreni
school	fakultet (n)
science	vitenskap
scissors	saks
scorpion	skorpion (m)
screech owl	tårnugle
screwdriver	skrujern; skrutrekker
scythe	ljå (m)
sea	hav (n)
seaborgium	seaborgium
seagull	måke (m)
seal	sel (m)
season	årstid; sesong (m)
second	andre (n)
secret	hemmelig; skjult
sect	sekt (m)
see	se
selenium	selen
sell	selge
semen	sæd (m)
send	sende
sentence	setning
seven	sju; syv
seventeen	sytten
seventy	sytti
sex	kjønn (n)
sexual intercourse	kjønnslig omgang (m); samleie (n)
sexual orientation	seksuell orientering
shadow	skygge (m)
shark	hai (m)
sharp	skarp
she	hun (f)
sheep	sau (m); får (n)
shield	skjold (n)
shit	dritt (m); skitt (m); avføring (m); bæsj (m); skit (m); møkk; ekskrement (n); lort (m)
shoe	sko
shop	butikk (m); forretning (m)
shop window	butikkvindu (n)
shout	rope
show	vise
shower	dusj
shrew	spissmus
shrine	skrin; helgenskrin
sick	syk
sickle	sigd (m)
sieve	sikt 
signature	underskrift (f)
silence	stillhet (m); ro (m); taushet (m); togn
silicon	silisium
silkworm	silkeorm
silver	sølv
sin	synd
sing	synge
singer	sanger (m); sangerinne (m)
sister	søster; storesøster; lillesøster 
sit	sitte
six	seks
sixteen	seksten
sixth	sjette
sixty	seksti
skeleton	skjelett
skin	hud (m); skinn (n); ham (m)
skirt	skjørt (n)
sky	himmel (m)
skyscraper	skyskraper
slave	slave; trell
sleep	søvn (m)
slow	langsom (m); langsomt (n); langsomme
small	liten; ung
smell	lukte
smile	smil (n)
smoke	røyk (m)
snail	snegle (f)
snake	slange (m); orm (m)
snow leopard	snøleopard
snowflake	snøfnugg
soap	såpe; såpa
soccer	fotball (m)
socialism	sosialisme (m)
sock	sokk (m)
sodium	natrium
sofa	sofa
software	programvare (m)
solar wind	solvind (m)
solitude	ensomhet 
something	noe
sometimes	av og til; noen ganger; tidvis
son	svigersønn; måg
sonnet	sonett
soon	snart
sorry	unnskyld; beklager
soul	sjel (m)
sound	lyd (m)
sour	sur
spacecraft	romskip
spaceship	romskip (n)
spacetime	romtid
spade	spade (m)
sparrow	spurv; gråspurv (m)
sparrow hawk	spurvehauk
speak	snakke
spectacles	briller (m)
speech	tale (m); stemme (m)
sphere	sfære (m)
spice	krydder
spider	edderkopp (m); edderkopper (m)
spiderweb	edderkoppsilke
spleen	milt (m)
spouse	ektefelle (m); ektemake (m)
spring	fjær (m)
spy	spion (m)
squid	akkar (m)
squirrel	ekorn (n)
stairs	trapp
stallion	hingst (m)
stand	stå; standa
star	stjerne (m); kjendis (m)
starling	stær
state	tilstand
statistics	statistikk
steel	stål (n)
stepfather	stefar (m)
stepmother	stemor (f)
stick	kjepp (m)
stomach	mage (m); buk (m)
stone	stein (m)
stork	stork
storm	storm
strange	merkelig; sær; rar
strawberry	jordbærplante (m)
street	gate
string	streng
strontium	strontium
stupid	dum
submarine	ubåt (m)
suck	suge
sugar	sukker (n)
suicide	selvmord (n); selvdrap (n)
suitcase	koffert (m)
sulfur	svovel (m)
summer	sommer
sun	sol
superstition	overtru
swallow	svelge
swastika	hakekors (n); svastika (m)
sweet	søt
sweet potato	søtpotet
sweetener	søtningsmiddel
swim	bade; svømme
swimming pool	svømmebasseng, basseng
swordfish	sverdfisk
system	system (n)
table	tabell (m)
tadpole	Rumpetroll
taiga	taiga
tail	hale (m)
take	ta; gripe
talent	talent (m)
talk	snakke; preke
tank	stridsvogn
tantalum	tantal
taste	smak (m)
tattoo	tatovering (m)
tawny owl	kattugle
tax	skatt (m); (m)
taxi	taxi; (m) drosje
tea	te
teacher	lærer (m); lærerinne (f); (m)
tear	tårer
technetium	technetium
teenager	tenåring
telepathy	telepati, tankeoverføring, tankelesning
telephone	telefon (m)
telescope	teleskop (n)
tellurium	tellur
temperature	temperatur (m)
ten	ti
tent	telt
terbium	terbium
terrorism	terrorisme
textbook	lærebok
thallium	thallium
than	enn
thank you	takk
thank you very much	mange takk
thanks	takk
the	det (n); den (m); de; -en (m); -a (f); -i (f); -et (n); -ene (m); -ane (m); -one (f); -a (n); -i (n); -ene (n)
theater	teater (n)
theft	tyveri (n)
their	deres; sin; sine 
then	da; den gang
theology	teologi
there	der
there is	det er
they	de
thigh	lår (n)
thing	ting; dings; greie (m)
think	tenke
third	tridje 
thirst	tørste
thirsty	tørst
thirteen	tretten
thirty	tredve
this	denne (m); dette (n); disse
thorium	thorium
thorn	torn (m)
thou	du
thousand	tusen
thread	tråd (m)
three	tre; tri
throat	hals (m)
throne	trone
thulium	thulium
thumb	tommel (m)
tick	flått (m)
tiger	tiger (m)
time	tid
tin	tinn
tit	meis 
titanium	titan
to	til
toad	padder
today	i dag
toe	tå
together	sammen; i lag
toilet	bad (n)
tomorrow	i morgen
tongue	tunge
tonight	i kveld
too	for; altfor
tool	verktøy (n)
tooth	tann
tortoise	skilpadde; skjelpadde
touch	berøre
tourism	turisme
town	by
train	tog
tram	trikk; sporvogn (f)
translate	oversette
travel	reise (m)
treasure	skatt (m); skatt (m)
tree	tre (n)
tricycle	trehjulssykkel
trousers	bukser; brok
trumpet	trompet (m)
try	prøve; forsøke
tungsten	wolfram
turban	turban
turkey	kalkun (m)
turtle dove	turteldue
twelve	tolv
twenty	tjueen
two	to
typhoon	tyfon (m)
tyre	dekk
ugly	stygg; frastøtende
understand	forstå; skjønne; kunne
unemployment	arbeidsledighet
unicorn	enhjørning (m)
universe	univers (n)
university	universitet (n)
uranium	uran
urethra	urinrør
useful	nyttig
vagina	skjede (m)
valley	dal (m)
value added tax	merverdiavgift
vampire	vampyr (m)
vanadium	vanadium
vandalism	hærverk
verb	verb
very	veldig
video game	videospill
village	landsby; torp (n)
vinegar	eddik
violin	fiolin (m)
virgin	jomfru (f)
virus	virus
visa	visum
vocative case	vokativ (m)
vodka	vodka
voice	stemme (m)
volcano	vulkan (m)
vomit	kaste opp; spy; brekke seg
vulture	gribb (m)
wait	vente med
waiter	kelner (m)
wake up	våkne
walk	gå; spasere
wall	voll (m)
wallet	lommebok (m)
want	ville; ønske
war	krig (m)
warship	orlogsfartøy (n)
wart	vorte
wash	tvette; vaske
wasp	veps (m)
watch	klokke; ur
water	vanne
waterfall	foss (m)
watermelon	vannmelon
wave	bølge (m)
wax	voks
weather	vær (n); vêr (n)
web site	nettside (m)
wedding	bryllup (n)
weed	ugress (n)
weep	grett (f)
welcome	velkommen
well	bra
werewolf	varulv (m)
wet	våt; bløt
whale	hval (m)
what	hva
what time is it	hvor meget er klokken 
when	når
where	hvor
where is the toilet	hvor er toalettet 
whip	pisk
whiskey	whisky
whisky	whisky
who	hvem
whole	hel
whore	hore (f)
wide	vid; bred
wife	hustru; kone; frue
wig	parykk
wiki	wiki
wild boar	villsvin
wildcat	villkatt; skogkatt
willow	vier (m); vierslekt (m); viere
win	vinne
wind	vind (m)
wine	vin
wire	ledning (m)
wise	vis
wisent	europeisk bison
witch	heks (f); heksa (f)
with	med
without	uten
wolf	ulv (m); varg (m); (f) ulvinne (f) 
woman	kvinne; dame
wood	tre (n); treverk (n)
woodpecker	hakkespett (m)
word	ord (n)
world	verden (m)
worm	mark (m); makk (m); orm (m)
wound	sår (n); skade (m)
wrist	håndledd (n)
write	skrive
writer	forfatter (m); skribent (m)
xenon	xenon
xenophobia	xenofobi; fremmedfrykt (m)
year	år (n)
yeast	gjær (m)
yellow	gul
yes	ja
yesterday	i går
yew	barlind
yoghurt	jogurt (m); yoghurt (m)
young	ung
your	dine
ytterbium	ytterbium
yttrium	yttrium
zebra	sebra (m)
zero	null
zinc	sink
zirconium	zirkonium
