English	Norwegian
Marshall Islands	Marshalløyene
Mary	Maria
Matthew	Mathias
Mauritania	Mauritania
Mauritius	Mauritius
May	mai
Mediterranean Sea	Middelhavet
Mercury	Merkur
Merry Christmas	god jul
Merry Christmas and a Happy New Year	God Jul og Godt Nytt Aar
Mexico	Mexico
Mexico City	Mexico by
Michael	Mikael
Miss	frøken 
Moldova	Moldova
Monaco	Monaco
Monastir	Bitola
Mongolia	Mongolia
Moon	måne (m)
Moscow	Moskva
Moses	Moses
Mrs	Fr
Muhammad	Muhammed
Munich	München
Myanmar	Myanmar; Burma
NATO	NATO
Namibia	Namibia
Naypyidaw	Naypyidaw
Nepal	Nepal
Neptune	Neptun
Netherlands	Nederland; Holland
New Guinea	Ny-Guinea
New South Wales	New South Wales
New Zealand	New Zealand; Ny-Zealand
Nicaragua	Nicaragua
Nicholas	Nils
Niger	Niger
Nigeria	Nigeria
North Korea	Nord-Korea
North Sea	Nordsjøen
Northern Europe	Nord-Europa
Northern Ireland	Nord-Irland
November	november
October	oktober
Olympic Games	Olympiske leker
Oman	Oman
Ouagadougou	Ouagadougou
Pacific Ocean	Stillehavet (n)
Pakistan	Pakistan
Palestine	Palestina
Panama	Panama
Papua New Guinea	Papua Ny-Guinea
Paraguay	Paraguay
Paris	Paris
Paul	Pål; Paul
Persephone	Persephone
Peru	Peru
Philippines	Filippinene
Pleiades	Pleiadene
Podgorica	Podgorica
Poland	Polen
Portugal	Portugal
Prague	Praha; Prag
Pythagoras	Pythagoras
Qatar	Qatar
Quidditch	Rumpeldunk
Republic of Albania	Republikken Albania
Reykjavik	Reykjavík; Reykjavik
Richard	Rikard; Richard
Roma	Romafolket; Romanifolk
Roman Empire	Romerriket
Romania	Romania
Rome	Roma
Russia	Russland
Russian Federation	russiske føderasjon; russiske føderasjon
Rwanda	Rwanda
San Marino	San Marino
Sanskrit	sanskrit
Santa Claus	julenissen
Satan	Satan
Saturn	Saturn (m)
Saudi Arabia	Saudi-Arabia
Scotland	Skottland
Senegal	Senegal
September	september
Serb	serber (m)
Serbia and Montenegro	Serbia og Montenegro
Seychelles	Seychellene
Sheremetyevo	Sjeremetjevo
Siberia	Sibir
Sicily	Sicilia
Singapore	Singapore
Slav	slav
Slavic	slavisk
Slovakia	Slovakia
Slovenia	Slovenia
Snow White	Snøhvit
Sochi	Sotsji
Socrates	Sokrates
Sofia	Sofia
Solomon Islands	Salomonøyene
Somalia	Somalia
Sophocles	Sofokles (m)
Sorbian	sorbisk
South Africa	Sør-Afrika; Republikken Sør-Afrika
South Asia	Sør-Asia
South Korea	Sør-Korea; Republikken Korea
South Ossetia	Sør-Ossetia
South Sudan	Sør-Sudan
Southeast Asia	Sørøst-Asia
Southern Europe	Syd-Europa
Soviet Union	Sovjetunionen
Spain	Spania
Sparta	Sparta
Sri Jayawardenepura Kotte	Kotte
Sri Lanka	Sri Lanka
Sudan	Sudan
Suez Canal	Suezkanalen
Sunday	søndag
Suriname	Surinam
Swaziland	Swaziland
Sweden	Sverige
Switzerland	Sveits
Syria	Syria
Taiwan	Taiwan
Tajikistan	Tadsjikistan
Tallinn	Tallinn
Tanganyika	Tanganyika
Tanzania	Tanzania
Tbilisi	Tbilisi
Tel Aviv	Tel Aviv
Telugu	telugu
Ten Commandments	de ti bud (p)
Thailand	Thailand
Thames	Themsen
Thanatos	Thanatos
The Hague	Haag
Thomas	Thomas
Thursday	torsdag
Togo	Togo
Tokyo	Tokyo
Transnistria	Transnistria (n)
Transylvania	Transilvania (n)
Trinidad and Tobago	Trinidad og Tobago
Trotskyism	trotskisme (m)
Tunisia	Tunisia
Turkey	Tyrkia
Turkmenistan	Turkmenistan
USA	USA
USSR	Sovjetunionen
Uganda	Uganda
Ukraine	Ukraina
Ulyanovsk	Uljanovsk
United Arab Emirates	De forente arabiske emirater
United Kingdom	Storbritannia; Det forente kongerike Storbritannia og Nord-Irland
United States	De Forente Stater (m)
United States of America	Amerikas forente stater; De forente stater
Uruguay	Uruguay
Uzbekistan	Usbekistan
Vatican City	Vatikanstaten; Vatikanet
Venezuela	Venezuela
Venice	Venezia
Victory Day	Seiersdagen
Vietnam	Vietnam
Vishnu	Vishnu
Volga	Volga
Warsaw	Warszawa
Western Sahara	Vest-Sahara
White House	Det hvite hus
White Sea	Kvitsjøen (m)
Wikipedia	Wikipedia
Wiktionary:Usability/flag	flagg (n)
William	Vilhelm
World War I	første verdenskrig (m)
World War II	andre verdenskrig (m)
Wroclaw	Wrocław
Yalta	Jalta
Yangtze	Chang Jiang
Yekaterinburg	Jekaterinburg
Yellow Sea	Gulehavet
Yemen	Jemen
Yerevan	Jerevan
Yiddish	jiddisch; jiddisk
Zambia	Zambia
Zealand	Sjælland
Zoroastrianism	Zoroastrisme
a lot	mange
aardvark	jordsvin (n)
abandon	forlate
abbot	abbed
abbreviation	forkortelse (m)
abdomen	mage; buk
abundance	overflod
accordion	trekkspill
acid	sur
acorn	kongle (m)
actinium	actinium
actor	skuespiller (m); skuespillerinne (m)
actress	skuespillerinne
acupuncture	akupunktur (m)
address	adresse
admiration	beundring
adverb	adverb (n)
advertisement	reklame; annonse
after	etter
afternoon	ettermiddag (m)
again	igjen
aggressive	aggressiv
ago	siden
agriculture	landbruk (n); jordbruk (n)
air	luft (f)
airport	flyplass (m)
al	al-Qaida
alchemist	alkymist
algebra	algebra
algorithm	algoritme (m)
alkyne	alkyn
all	hele
all rights reserved	alle rettigheter er forbeholdt
almond	mandel (m)
almost	nesten
alphabet	alfabet (n)
alpine chough	alpekaie
already	allerede
altar	alter; altar
aluminium	aluminium
always	alltid; bestandig
am	er
amber	rav (n)
americium	americium
amoeba	amøbe
anagram	anagram
anarchism	anarkisme
anarchy	anarki (n)
anchor	anker (n)
anger	sinne (n)
animal	dyr
anime	anime
ankle	ankel (m)
answer	svare
ant	maur
antelope	antilope
anthrax	miltbrann
antimony	antimon
antonym	antonym
anvil	ambolt (m); ste (n)
apartment	leilighet
ape	ape
apple	eple (n)
apple tree	epletre
apricot	aprikos (m)
archaeology	arkeologi
archer	bueskytter (m)
architecture	arkitektur
argent	sølv
argon	argon (n)
arm	arm
arrow	pil
arsenic	arsen
artist	artist
ashtray	askebeger
ask	be; om
ass	esel (n); asen (n)
asshole	rasshøl
astatine	astat
asteroid	asteroide
astronomy	astronomi (m)
astrophysics	astrofysikk (m); astrofysikk
at	på
at sign	krøllalfa; alfakrøll
atmosphere	atmosfære (m)
atrocity	grusomhet
aubergine	aubergine
aunt	tante (m); faster (m); (m)
autumn	høst (m)
avalanche	lavine; snøras; snøskred (n)
axe	øks (m)
axis	akse (m)
baby	spebarn (n) 
babysitter	barnevakt; kenguru
back	rygg (m); bak (m)
backgammon	backgammon (n)
bad	dårlig; ond
badger	grevling (m)
bag	veske; pose (m)
bagpipes	sekkepipe
bakery	bakeri
balloon	ballong (m)
banana	banan (m)
bank	bank (m)
barcode	strekkode
barium	barium
bark	bjeff (n)
barley	bygg (n)
barn owl	tårnugle
basalt	basalt
basket	kurv (m)
basketball	basketball (m)
bassoon	fagott (m)
bat	flaggermus; skinnvengja (f)
bath	badekar (n)
bay	bukt (f)
bayonet	bajonett
be prepared	vær beredt
beach	strand
beak	nebb
bean	bønne
bear	bære; fram; føde
beard	skjegg (n)
beat	slå
beaver	bever (m)
because	fordi; ettersom; det kommer av
become	bli
bed	seng (m)
bedbug	veggdyr
bedroom	soverom (n)
bee	bie (m)
beech	bøk (m)
beef	storfekjøtt (n)
beer	øl
beetle	bille (m)
before	før
begin	begynne
behind	bak
being	tilværelse; det å være 
believe	tro
bell	bjelle
belt	belte (n)
berkelium	berkelium
berry	bær (n)
beryllium	beryllium
better	bedre
between	mellom
bicycle	sykkel (m)
big	stor
bill	nebb
billion	milliard
bipolar disorder	nipolar lidelse
birthday	bursdag (m); fødselsdag (m)
birthmark	føflekk; fødselsmerke (n)
biscuit	kjeks (m); småkake (m)
bishop	løper (m)
bismuth	vismut
bitch	tispe (f)
bite	bite
black	svart
black grouse	orrfugl
blackberry	bjørnebær (n)
blackbird	svarttrost
blade	blad (n)
blanket	dyne (m); teppe (n)
bless you	prosit
blog	blogg
blood	blod (n)
blue	blåfarge
blueberry	blåbær (n)
boar	villsvin (n)
boat	båt (m)
bohrium	bohrium
bomb	bombe
bon voyage	god reise
book	reservere
bookshop	bokhandel (m)
boot	støvel (m)
border	grense (m)
boron	bor
both	begge; båe
bottle	flaske (m)
bow	bue; boge (m)
bowl	bolle (m); skål (m)
box	kasse (m); boks (m)
boxing	boksing
bra	brystholder; bysteholder
brain	hjerne
branch	gren (m); grein (m)
bread	brød (n)
breast	bryst (n)
breathe	puste; ånde
bridge	bro (m); bru (m)
bright	lys
bromine	brom
bronze	bronse (m)
brother	bror (m)
brown	brun
buffalo	bison
building	bygge; konstruere
bull	okse (m)
bullet	kule
bumblebee	humle
burn	brenne
bus	buss (m)
bush	busk (m)
busy	travel; opptatt
but	enn; bortsett fra; unntatt; foruten
butterfly	sommerfugl; sommarfugl 
buy	kjøpe
buzzard	musvåk
by the way	forresten
cabbage	hodekål
cacao	kakaotre
cadmium	cadmium
caesium	cesium
café	kafé (m); café (m)
cake	kake (m)
calcium	kalsium
calf	kalv (m)
californium	californium
camel	kamel (m)
camouflage	kamuflasje (m)
can	kunne
canal	kanal
canary	kanarifugl
cancer	kreft
candidate	kandidat
candle	lys
cannabis	hamp
canyon	canyon
capercaillie	storfugl; tiur
capital city	hovedstad
capitalism	kapitalisme (m)
car	vogn (m)
caramel	karamell
carbon	karbon (n)
carp	karpe
carrot	gulrot
cash	kontanter; penger
caste	kaste (m)
castle	borg
cat	kattedyr (n); katt (m)
caterpillar	larve (m)
cattle	krøtter; storfe; kveg
caviar	kaviar (m)
cedar	seder
ceiling	tak (n)
celery	selleri
cell phone	mobiltelefon
center	midt; midtpunkt (n)
centipede	skolopender (m)
cerium	cerium
chain	kjede (n); kjetting (m); lenke
chamois	gemse
chase	løpe; forfølge
cheers	skål
cheese	ost (m)
cheetah	gepard (m)
chemistry	kjemi
cherry	kirsebær (n); morell (m)
chess	sjakk (m)
chest	brystkasse
