Norwegian	﻿English
Marshalløyene	Marshall Islands
Maria	Mary
Mathias	Matthew
Mauritania	Mauritania
Mauritius	Mauritius
mai	May
Middelhavet	Mediterranean Sea
Merkur	Mercury
god jul	Merry Christmas
God Jul og Godt Nytt Aar	Merry Christmas and a Happy New Year
Mexico	Mexico
Mexico by	Mexico City
Mikael	Michael
frøken 	Miss
Moldova	Moldova
Monaco	Monaco
Bitola	Monastir
Mongolia	Mongolia
måne (m)	Moon
Moskva	Moscow
Moses	Moses
Fr	Mrs
Muhammed	Muhammad
München	Munich
Myanmar; Burma	Myanmar
NATO	NATO
Namibia	Namibia
Naypyidaw	Naypyidaw
Nepal	Nepal
Neptun	Neptune
Nederland; Holland	Netherlands
Ny-Guinea	New Guinea
New South Wales	New South Wales
New Zealand; Ny-Zealand	New Zealand
Nicaragua	Nicaragua
Nils	Nicholas
Niger	Niger
Nigeria	Nigeria
Nord-Korea	North Korea
Nordsjøen	North Sea
Nord-Europa	Northern Europe
Nord-Irland	Northern Ireland
november	November
oktober	October
Olympiske leker	Olympic Games
Oman	Oman
Ouagadougou	Ouagadougou
Stillehavet (n)	Pacific Ocean
Pakistan	Pakistan
Palestina	Palestine
Panama	Panama
Papua Ny-Guinea	Papua New Guinea
Paraguay	Paraguay
Paris	Paris
Pål; Paul	Paul
Persephone	Persephone
Peru	Peru
Filippinene	Philippines
Pleiadene	Pleiades
Podgorica	Podgorica
Polen	Poland
Portugal	Portugal
Praha; Prag	Prague
Pythagoras	Pythagoras
Qatar	Qatar
Rumpeldunk	Quidditch
Republikken Albania	Republic of Albania
Reykjavík; Reykjavik	Reykjavik
Rikard; Richard	Richard
Romafolket; Romanifolk	Roma
Romerriket	Roman Empire
Romania	Romania
Roma	Rome
Russland	Russia
russiske føderasjon; russiske føderasjon	Russian Federation
Rwanda	Rwanda
San Marino	San Marino
sanskrit	Sanskrit
julenissen	Santa Claus
Satan	Satan
Saturn (m)	Saturn
Saudi-Arabia	Saudi Arabia
Skottland	Scotland
Senegal	Senegal
september	September
serber (m)	Serb
Serbia og Montenegro	Serbia and Montenegro
Seychellene	Seychelles
Sjeremetjevo	Sheremetyevo
Sibir	Siberia
Sicilia	Sicily
Singapore	Singapore
slav	Slav
slavisk	Slavic
Slovakia	Slovakia
