Norwegian	﻿English
lava	lava
lov (m)	law
lawrencium	lawrencium
bly	lead
ark (n)	leaf
sprang; hopp; hoppe	leap
skuddår (n)	leap year
lære	learn
snømus	least weasel
forlate	leave
purre; purreløk	leek
venstre	left
bein (n)	leg
sitron (m)	lemon
hjertensfryd, sitronmelisse	lemon balm
lengde	length
leopard (m)	leopard
lesbe (m)	lesbian
dvergspett	lesser spotted woodpecker
lekse, lærepenge, undervisningstime	lesson
brev (n)	letter
løgner (m); løgnhals (m)	liar
bibliotek (n)	library
lyve; ljuge	lie
liv (n)	life
lett	light
lyspære (m)	light bulb
lysår	light year
lynglimt; blink	lightning
lik; som	like
kalkstein	limestone
lingvistikk	linguistics
løve (m)	lion
løvinne	lioness
leppe	lip
leppestift	lipstick
høre	listen
litteratur	literature
litium	lithium
liten; liten	little
lillefinger (m)	little finger
kirkeugle	little owl
bo	live
øgle (f); firfisle	lizard
hummer	lobster
logikk (m)	logic
hornugle	long
se; skue	look
lus	louse
elske med	love
lunken	lukewarm
lunsj	lunch
lunge; lunga (f)	lung
lutt (m)	lute
lutetium	lutetium
gaupe	lynx
maskingevär	machine gun
maskinkode	machine language
makrell	mackerel
gal; sprø	mad
magma	magma
magnesium	magnesium
mais (m)	maize
stokkand	mallard
pattedyr (n)	mammal
menneske (n)	man
mangan	manganese
tusen takk	many thanks
lønn	maple
hoppe (f)	mare
marked (n); markedsplass (m)	market
murmeldyr	marmot
ekteskap (n); giftemål (n)	marriage
mersk (m)	marsh
mår	marten
masturbere	masturbate
onanering	masturbation
fyrstikk (m)	match
tante (m); moster (m)	maternal aunt
bestefar; morfar	maternal grandfather
matematikk	mathematics
kanskje	maybe
meg	me
måltid	meal
kjøtt (n)	meat
medisin (m)	medicine
meitnerium	meitnerium
melon	melon
hukommelse (m); minne (n)	memory
mendelevium	mendelevium
mjau	meow
kvikksølv	mercury
havfrue (m)	mermaid
melding (m)	message
metall (n)	metal
meter (m)	meter
meter (m)	metre
langfinger (m)	middle finger
jordmor (m),(f)	midwife
mølle (m); mylna (f)	mill
million (m)	million
tusenbein	millipede
forstand (m); intellekt (n)	mind
mine (m)	mine
mineralogi	mineralogy
mynt	mint
minutt (n)	minute
mirakel (n); under (n); underverk (n)	miracle
feil (m); tabbe (m)	mistake
vollgrav	moat
mobiltelefon (m); mobil (m)	mobile phone
føflekk (m)	mole
molekyl (n)	molecule
molybden	molybdenum
kongedømme (n); monarki (n)	monarchy
kloster (n)	monastery
penger	money
munk (m)	monk
monster (n); uhyre (n)	monster
måned	month
månen (m)	moon
moské (m)	mosque
mygg (m)	mosquito
nattsvermer (m)	moth
svigermor (f)	mother
morsmål (n)	mother tongue
motorsykkel	motorcycle
mufflon	mouflon
mus (m); datamus (m)	mouse
bart (m); mustasje (m)	moustache
munn (m); kjeft	mouth
mye	much
søle (f); gjørme (f); leire (m)	mud
muldyr (n)	mule
overlagt; drap (n)	murder
morder (m)	murderer
muskel	muscle
museum	museum
sopp	mushroom
musikk (m)	music
musikkinstrument (n)	musical instrument
bisamrotte	muskrat
måtte	must
sennep 	mustard
min (m); mi (f); mitt (n); mine	my
jeg heter...; mitt navn er...	my name is
mysterium (n)	mystery
spiker (m)	nail
naken	naked
navn (n); ry (n)	name
smal	narrow
nasjon (m)	nation
nasjonalisme	nationalism
natur (f)	nature
navle (m)	navel
marine (m)	navy
nødvendig	necessary
hals (m)	neck
halsbånd (n)	necklace
slips (n)	necktie
trenge	need
nål (m); strikkepinne (m) 	needle
nabo (m)	neighbour
neodym	neodymium
neon	neon
neptunium	neptunium
neutrino (m)	neutrino
aldri	never
ny	new
avis	newspaper
neste	next
nikkel	nickel
natt (m)	night
sørnattergal	nightingale
mareritt (n)	nightmare
ni	nine
nitten	nineteen
nitti	ninety
niob	niobium
patte (f)	nipple
gnett	nit
nitrogen	nitrogen
forbudt (preceded by a verbal noun)	no
ingen	no one
røyking forbudt	no smoking
nobelium	nobelium
ingen	nobody
ikke-statlig organisasjon	non
ikkedrap	nonkilling
nord	north
skrivebok	notebook
ingenting; inget	nothing
substantiv (n)	noun
naken	nude
antall; tall	number
sykesøster (f); pleier (m); pleierske (m)	nurse
nøtt; nòt (f)	nut
nøtteknekker	nutcracker
eik (f)	oak
eik (f)	oak tree
åre	oar
havre (m)	oat
ed (m)	oath
lydighet	obedience
fedme	obesity
objekt (n); ting (m); gjenstand (m)	object
obo (m)	oboe
blekksprut (m); akkar (m)	octopus
øsofag (m)	oesophagus
av; til; -s	of
selvsagt; naturligvis; selvfølgelig	of course
kontor (n)	office
ofte; hyppig	often
olje (m); petroleum (m)	oil
gammel	old
oliven	olive
omelett (m)	omelette
det var en gang	once upon a time
løk (m)	onion
åpne; lukke opp	open
operativsystem	operating system
mening; synspunkt (n)	opinion
eller	or
appelsintre (n)	orange
ordre (m)	order
malm	ore
organ	organ
orgasme	orgasm
foreldreløst barn	orphan
osmium	osmium
annen (m); anna (f); annet (n); andre	other
oter	otter
vår	our
eggstokk	ovary
ugle	owl
oksygen; surstoff	oxygen
østers (m)	oyster
maling; lakk	paint
palass (n)	palace
palladium	palladium
håndflate	palm
pannekake	pancake
bukspyttkjertel (m)	pancreas
papir; ark	paper
paradoks	paradox
foreldre	parents
park	park
Stortinget	parliament
papegøye (m)	parrot
del (m)	part
partikkelfysikk	particle physics
rapphøne	partridge
parti (n)	party
passord	password
tante (m); faster (m)	paternal aunt
bestefar; farfar	paternal grandfather
pasient (m)	patient
bonde (m)	pawn
fred; stillhet (n); ro	peace
fersken (m)	peach
påfugl (m)	peacock
peanøtt (f); jordnøtt (f)	peanut
pæretre (n)	pear
perle	pearl
penn (m)	pen
blyant	pencil
pingvin (m)	penguin
penicillin	penicillin
halvøy (f)	peninsula
penis; pikk	penis
folk (n)	people
vandrefalk	peregrine falcon
perestrojka	perestroika
kanskje; muligens	perhaps
mellomkjøtt (n); perineum	perineum
periodesystemet (n)	periodic table
person (m); menneske (n)	person
bensin (m)	petrol
farao (m)	pharaoh
apotek (n)	pharmacy
fasan (m)	pheasant
filosof (m)	philosopher
føniks (m); ildfugl (m)	phoenix
fosfor	phosphorus
fotografi	photography
fysikk (m)	physics
piano (n)	piano
maleri (n)	picture
pai (m)	pie
stykke (n)	piece
svin (n); gris (m)	pig
grisunge (m); pattegris (m)	piglet
pute	pillow
hallik (m)	pimp
kvise	pimple
knappenål	pin
ananas (m)	pineapple
rosa	pink
pirat (m)	pirate
pizza	pizza
sted (n)	place
planet (m)	planet
plante (f)	plant
platina	platinum
nebbdyr	platypus
vær så snill	please
fornøyelse (m)	pleasure
pløye	plough
plutonium	plutonium
lomme	pocket
dikt 	poem
gift (m)	poison
isbjørn (m)	polar bear
ilder	polecat
politi (m)	police
høflig	polite
politiker (m)	politician
politikk (m)	politics
polonium	polonium
polygon	polygon
fattig; blakk 	poor
pave (m)	pope
valmue (m)	poppy
hulepinnsvin	porcupine
pornografisk	pornographic
pornografi (m)	pornography
#Norwegian'positron	positron
postkontor (n); posthus (n)	post office
brevkort	postcard
postnummer	postcode
postmodernisme	postmodernism
kalium	potassium
potet (m)	potato
pund (n)	pound
fattigdom	poverty
makt; innflytelse	power
praseodym	praseodymium
be	pray
bønn	prayer
svangerskap	pregnancy
gravid; svanger 	pregnant
preposisjon (m)	preposition
forhud (m)	prepuce
president (m)	president
pen; vakker	pretty
pris	price
prest	priest
statsminister (m)	prime minister
primtall	prime number
prins (m)	prince
fengsel (n)	prison
problem (n)	problem
programmeringsspråk (n)	programming language
promethium	promethium
pronomen	pronoun
uttale (m)	pronunciation
eiendom (m); løsøre (n); lausøyre (m)	property
profet (m)	prophet
prostituert (m)	prostitute
protactinium	protactinium
sikre; dekke; gardere	protect
proton	proton
ordtak	proverb
pulsar (m)	pulsar
pimpstein	pumice
elev (m)	pupil
skjærsilden; purgatoriet	purgatory
lilla; fiolett	purple
dytte; skubbe	push
fitte; kuse; mus	pussy
vaktel (m)	quail
dronning (f)	queen
spørsmål	question
spørsmålstegn (n)	question mark
fort	quickly
stille	quiet
anførselstegn, gåseauge [«◌»] 'or' [„◌”]	quotation marks
kanin (m)	rabbit
vaskebjørn (m)	raccoon
rasisme (m)	racism
radon (n)	radon
jernbane (m)	railway
regne	rain
regnbue	rainbow
rake (m)	rake
saubukk (m) 	ram
voldtekt	rape
bringebærbusk (m)	raspberry
rotte (f)	rat
ravn	raven
lese	read
grunn	reason
nylig	recent
oppskrift	recipe
rød	red
hjort	red deer
kjøleskap (n)	refrigerator
reinsdyr (n)	reindeer
religion (m); trosretning (m)	religion
reptil (n); krypdyr	reptile
republikk (m)	republic
respekt	respect
restaurant (m)	restaurant
hevn	revenge
rhenium	rhenium
rhodium	rhodium
ris (m)	rice
rik	rich
rett; rettighet	right
ring (m)	ring
ringfinger (m)	ring finger
flod (m); elv (m); å (m)	river
vei (m); veg (m)	road
robot	robot
stein (m)	rock
klippedue	rock dove
gnager (m)	rodent
rådyr (n)	roe deer
tak (n)	roof
tårn	rook
rom (n); plass (m)	room
hane (m)	rooster
rot	root
tau (n)	rope
rose (f)	rose
rubidium	rubidium
løpe; springe	run
ruthenium	ruthenium
rutherfordium	rutherfordium
rug (m)	rye
sekk (m); pose (m)	sack
offer (n)	sacrifice
trist; lei seg	sad
seilskip (n)	sailing ship
matros (m), sjømann (m), seiler (m)	sailor
lønn	salary
spytt (n)	saliva
laks (m)	salmon
salt (n); bordsalt (n)	salt
samarium	samarium
samme	same
sand (m)	sand
sandwich; smørbrød	sandwich
safir (m)	sapphire
saus (m)	sauce
pølse	sausage
redde	save
vekt (f)	scales
scandium	scandium
arr (n)	scar
skarlagen (n)	scarlet
schizofreni	schizophrenia
fakultet (n)	school
vitenskap	science
saks	scissors
skorpion (m)	scorpion
tårnugle	screech owl
skrujern; skrutrekker	screwdriver
ljå (m)	scythe
hav (n)	sea
seaborgium	seaborgium
måke (m)	seagull
sel (m)	seal
årstid; sesong (m)	season
andre (n)	second
hemmelig; skjult	secret
sekt (m)	sect
se	see
selen	selenium
selge	sell
sæd (m)	semen
sende	send
setning	sentence
sju; syv	seven
sytten	seventeen
sytti	seventy
kjønn (n)	sex
kjønnslig omgang (m); samleie (n)	sexual intercourse
seksuell orientering	sexual orientation
skygge (m)	shadow
hai (m)	shark
skarp	sharp
hun (f)	she
sau (m); får (n)	sheep
skjold (n)	shield
dritt (m); skitt (m); avføring (m); bæsj (m); skit (m); møkk; ekskrement (n); lort (m)	shit
sko	shoe
butikk (m); forretning (m)	shop
butikkvindu (n)	shop window
rope	shout
vise	show
dusj	shower
spissmus	shrew
skrin; helgenskrin	shrine
syk	sick
sigd (m)	sickle
sikt 	sieve
underskrift (f)	signature
stillhet (m); ro (m); taushet (m); togn	silence
silisium	silicon
silkeorm	silkworm
sølv	silver
synd	sin
synge	sing
sanger (m); sangerinne (m)	singer
søster; storesøster; lillesøster 	sister
sitte	sit
seks	six
seksten	sixteen
sjette	sixth
seksti	sixty
skjelett	skeleton
hud (m); skinn (n); ham (m)	skin
skjørt (n)	skirt
himmel (m)	sky
skyskraper	skyscraper
slave; trell	slave
søvn (m)	sleep
langsom (m); langsomt (n); langsomme	slow
liten; ung	small
lukte	smell
smil (n)	smile
røyk (m)	smoke
snegle (f)	snail
slange (m); orm (m)	snake
snøleopard	snow leopard
snøfnugg	snowflake
såpe; såpa	soap
fotball (m)	soccer
sosialisme (m)	socialism
sokk (m)	sock
natrium	sodium
sofa	sofa
programvare (m)	software
solvind (m)	solar wind
ensomhet 	solitude
noe	something
av og til; noen ganger; tidvis	sometimes
svigersønn; måg	son
sonett	sonnet
snart	soon
unnskyld; beklager	sorry
sjel (m)	soul
lyd (m)	sound
sur	sour
romskip	spacecraft
romskip (n)	spaceship
romtid	spacetime
spade (m)	spade
spurv; gråspurv (m)	sparrow
spurvehauk	sparrow hawk
snakke	speak
briller (m)	spectacles
tale (m); stemme (m)	speech
sfære (m)	sphere
krydder	spice
edderkopp (m); edderkopper (m)	spider
edderkoppsilke	spiderweb
milt (m)	spleen
ektefelle (m); ektemake (m)	spouse
fjær (m)	spring
spion (m)	spy
akkar (m)	squid
ekorn (n)	squirrel
trapp	stairs
hingst (m)	stallion
stå; standa	stand
stjerne (m); kjendis (m)	star
stær	starling
tilstand	state
statistikk	statistics
stål (n)	steel
stefar (m)	stepfather
stemor (f)	stepmother
kjepp (m)	stick
mage (m); buk (m)	stomach
stein (m)	stone
stork	stork
storm	storm
merkelig; sær; rar	strange
jordbærplante (m)	strawberry
gate	street
streng	string
strontium	strontium
dum	stupid
ubåt (m)	submarine
suge	suck
sukker (n)	sugar
selvmord (n); selvdrap (n)	suicide
koffert (m)	suitcase
svovel (m)	sulfur
sommer	summer
sol	sun
overtru	superstition
svelge	swallow
hakekors (n); svastika (m)	swastika
søt	sweet
søtpotet	sweet potato
søtningsmiddel	sweetener
bade; svømme	swim
svømmebasseng, basseng	swimming pool
sverdfisk	swordfish
system (n)	system
tabell (m)	table
Rumpetroll	tadpole
taiga	taiga
hale (m)	tail
ta; gripe	take
talent (m)	talent
snakke; preke	talk
stridsvogn	tank
tantal	tantalum
smak (m)	taste
tatovering (m)	tattoo
kattugle	tawny owl
skatt (m); (m)	tax
taxi; (m) drosje	taxi
te	tea
lærer (m); lærerinne (f); (m)	teacher
tårer	tear
technetium	technetium
tenåring	teenager
telepati, tankeoverføring, tankelesning	telepathy
telefon (m)	telephone
teleskop (n)	telescope
tellur	tellurium
temperatur (m)	temperature
ti	ten
telt	tent
terbium	terbium
terrorisme	terrorism
lærebok	textbook
thallium	thallium
enn	than
takk	thank you
mange takk	thank you very much
takk	thanks
det (n); den (m); de; -en (m); -a (f); -i (f); -et (n); -ene (m); -ane (m); -one (f); -a (n); -i (n); -ene (n)	the
teater (n)	theater
tyveri (n)	theft
deres; sin; sine 	their
da; den gang	then
teologi	theology
der	there
det er	there is
de	they
lår (n)	thigh
ting; dings; greie (m)	thing
tenke	think
tridje 	third
tørste	thirst
tørst	thirsty
tretten	thirteen
tredve	thirty
denne (m); dette (n); disse	this
thorium	thorium
torn (m)	thorn
du	thou
tusen	thousand
tråd (m)	thread
tre; tri	three
hals (m)	throat
trone	throne
thulium	thulium
tommel (m)	thumb
flått (m)	tick
tiger (m)	tiger
tid	time
tinn	tin
meis 	tit
titan	titanium
til	to
padder	toad
i dag	today
tå	toe
sammen; i lag	together
bad (n)	toilet
i morgen	tomorrow
tunge	tongue
i kveld	tonight
for; altfor	too
verktøy (n)	tool
tann	tooth
skilpadde; skjelpadde	tortoise
berøre	touch
turisme	tourism
by	town
tog	train
trikk; sporvogn (f)	tram
oversette	translate
reise (m)	travel
skatt (m); skatt (m)	treasure
tre (n)	tree
trehjulssykkel	tricycle
bukser; brok	trousers
trompet (m)	trumpet
prøve; forsøke	try
wolfram	tungsten
turban	turban
kalkun (m)	turkey
turteldue	turtle dove
tolv	twelve
tjueen	twenty
to	two
tyfon (m)	typhoon
dekk	tyre
stygg; frastøtende	ugly
forstå; skjønne; kunne	understand
arbeidsledighet	unemployment
enhjørning (m)	unicorn
univers (n)	universe
universitet (n)	university
uran	uranium
urinrør	urethra
nyttig	useful
skjede (m)	vagina
dal (m)	valley
merverdiavgift	value added tax
vampyr (m)	vampire
vanadium	vanadium
hærverk	vandalism
verb	verb
veldig	very
videospill	video game
landsby; torp (n)	village
eddik	vinegar
fiolin (m)	violin
jomfru (f)	virgin
virus	virus
visum	visa
vokativ (m)	vocative case
vodka	vodka
stemme (m)	voice
vulkan (m)	volcano
kaste opp; spy; brekke seg	vomit
gribb (m)	vulture
vente med	wait
kelner (m)	waiter
våkne	wake up
gå; spasere	walk
voll (m)	wall
lommebok (m)	wallet
ville; ønske	want
krig (m)	war
orlogsfartøy (n)	warship
vorte	wart
tvette; vaske	wash
veps (m)	wasp
klokke; ur	watch
vanne	water
foss (m)	waterfall
vannmelon	watermelon
bølge (m)	wave
voks	wax
vær (n); vêr (n)	weather
nettside (m)	web site
bryllup (n)	wedding
ugress (n)	weed
grett (f)	weep
velkommen	welcome
bra	well
varulv (m)	werewolf
våt; bløt	wet
hval (m)	whale
hva	what
hvor meget er klokken 	what time is it
når	when
hvor	where
hvor er toalettet 	where is the toilet
pisk	whip
whisky	whiskey
whisky	whisky
hvem	who
hel	whole
hore (f)	whore
vid; bred	wide
hustru; kone; frue	wife
parykk	wig
wiki	wiki
villsvin	wild boar
villkatt; skogkatt	wildcat
vier (m); vierslekt (m); viere	willow
vinne	win
vind (m)	wind
vin	wine
ledning (m)	wire
vis	wise
europeisk bison	wisent
heks (f); heksa (f)	witch
med	with
uten	without
ulv (m); varg (m); (f) ulvinne (f) 	wolf
kvinne; dame	woman
tre (n); treverk (n)	wood
hakkespett (m)	woodpecker
ord (n)	word
verden (m)	world
mark (m); makk (m); orm (m)	worm
sår (n); skade (m)	wound
håndledd (n)	wrist
skrive	write
forfatter (m); skribent (m)	writer
xenon	xenon
xenofobi; fremmedfrykt (m)	xenophobia
år (n)	year
gjær (m)	yeast
gul	yellow
ja	yes
i går	yesterday
barlind	yew
jogurt (m); yoghurt (m)	yoghurt
ung	young
dine	your
ytterbium	ytterbium
yttrium	yttrium
sebra (m)	zebra
null	zero
sink	zinc
zirkonium	zirconium
