Sanskrit	English
अफगानस्थान (aphagānasthāna)	Afghanistan
अफ्रीका	Africa
अलास्‍का (Alāskā)	Alaska
सर्वशक्त (m) (Sarvazakta)	Almighty
अंगकोर वाट	Angkor Wat
आंग्लवर्षस्य चतुर्थमास (āṅglavarṣasya caturthamāsaḥ)	April
अर्जन्टीना	Argentina
आर्मीनिया (ārmīniyā)	Armenia
अरुणाचल प्रदेश	Arunachal Pradesh
आर्य (ā́rya)	Aryan
एशिया	Asia
असमिया	Assamese
आस्ट्रेलिया (āsṭreliyā)	Australia
अजर्बैजान (ajerbējān)	Azerbaijan
बेलारूस (belārūsa)	Belarus
बेल्जियम	Belgium
भारतम् (bhāratam)	Bharat
ब्रह्मन् (m) (bráhman)	Brahma
बुद्ध (m) (Buddha)	Buddha
केनडा (kenaḍā)	Canada
चीन (čīn)	China
देवनागरी (f) (devánāgarī)	Devanagari
पूर्वी एशिया (n) (pūrvī Eśiyā)	East Asia
एस्टोनिया	Estonia
फिन्लैंड (phinlaiṇḍa)	Finland
फ्रांस (phrānsa)	France
गणेश (m) (gaṇeśa); गणपतिं (m) (gaṇapatĩ); गणपति (m) (gaṇapati)	Ganesha
गङ्गा (f) (gáṅgā)	Ganges
गोवा	Goa
गूगल (n) (Gūgala)	Google
यवनदेशः (yavanadeśaḥ)	Greece
गुजराती (gujarātī)	Gujarati
हनुमान् (m)	Hanuman
हिमालय (Himālaya)	Himalayas
हिटलर (hiṭlar)	Hitler
अहम (aham)	I
त्वयि स्निह्यामि (tvayi snihyāmi)	I love you
आइसलैंड	Iceland
भारत (bhārata); भारतवर्ष (n) (bhāratavarṣa)	India
इन्दोनेशिया	Indonesia
ईरान (īrāna)	Iran
इस्रेल; इस्रेल (isrēla)	Israel
इटली (italī)	Italy
जैन धर्म (jéna dharma)	Jainism
जमैका	Jamaica
जापान	Japan
काली (Kālī)	Kali
कामसूत्र (n) (kā́ma-sūtra)	Kamasutra
कन्नड	Kannada
कर्णाटक	Karnataka
कृष्ण (m) (kṛṣṇá)	Krishna
लक्ष्मी (lakṣmī)	Lakshmi
लेनिन (lēnina)	Lenin
लुईजियाना	Louisiana
मध्य प्रदेश	Madhya Pradesh
महाराष्ट्र (Mahārāṣṭra)	Maharashtra
मलयाळम्	Malayalam
मलयेशिया	Malaysia
मार्क्स	Marx
कुमाऋ (kumāri)	Miss
मोल्दोवा (moldovā)	Moldova
मुहम्मद (muhammada)	Muhammad
बम्बई (bamba'ī)	Mumbai
नमीबिया	Namibia
नेपाल (nepāla)	Nepal
नेदरलैंड्स	Netherlands
नेपाल भाषा (f) (Nepāla bhāṣā)	Newari
हे (he)	O
उड़ीसा (uṛīsā)	Odisha
ओडिया	Oriya
फिलिपीन्स (philipīnsa)	Philippines
पित्सिलेमु (Pitsilemu)	Pichilemu
ऋक्षाः (m)	Pleiades
पोलैंड (polaiṇḍa)	Poland
पाण्डीचेरी	Puducherry
पुटिन	Putin
रूसी भाषा (rūsī bhāṣā)	Russian
संस्कृत (n) (saṃ-skṛtá)	Sanskrit
शनि (śani)	Saturn
सेनेगल	Senegal
शिमला	Shimla
शिव (m) (śivá)	Shiva
सिक्किम	Sikkim
सिंह (siṃhá)	Singh
दक्षिण एशिया (n) (dakṣiṇ eśiyā)	South Asia
दक्षिण पूर्व एशिया (n) (dakṣiṇa pūrva Eśiyā)	Southeast Asia
श्रीनगर	Srinagar
स्टालिन (sṭālina)	Stalin
स्वीडन (svīḍana)	Sweden
सिरिया (siriyā)	Syria
तैवान	Taiwan
ताजिकिस्थान (tājikisthāna)	Tajikistan
टंजानिया	Tanzania
तेलुगु	Telugu
उजबेकिस्थान	Uzbekistan
वायु (Vāyú)	Vayu
वेद (m) (véda)	Veda
शुक्र	Venus
विष्णु (m) (víṣṇu)	Vishnu
विकिपीडिया (n) (Vikipīḍiyā)	Wikipedia
विश्वव्यापीजाल (m) (Viśvavyāpījāla)	World Wide Web
याहू! (n) (yāhū!)	Yahoo!
येरेवान	Yerevan
ध्यान (m) (dhyāna)	Zen
जायाजीवः (jāyājīva<u>h</u>)	acrobat
विशेषण (m) (viśeṣaṇa)	adjective
पुनः (punaḥ)	again
विश्व (víśva)	all
अक्षरसमाम्नाय (m) (akSarasamAmnAya)	alphabet
भसद्य (bhasadya)	anal
च (ca)	and
पशु (paśu) (n), मृग (mṛga) (m)	animal
पिपीलिका (pipīlikā)	ant
गुद (n) (guda); पायु (m) (pāyu); भसद् (f) (bhasad); लुब्धक (m) (lubdhaka); सीध्र (n) (sīdhra)	anus
अनुस्वार (m) (anusvāra)	anusvara
बाहु (f) (bāhu)	arm
कृत्रिम (kritrima)	artificial
कृत्रिम बुद्धिमता (f) (kritrima buddhimatā)	artificial intelligence
पृच्छ् (pṛicch)	ask
वृन्ताकम्	aubergine
शरद (śarada)	autumn
अवतार (ava-tāra)	avatar
वट (vaṭa)	banyan
वल्क (m) (valka); त्वच् (f) (tvác); तरुत्वच् (f) (tarutvac)	bark
सागरतीरं	beach
ऋक्ष (m) (ṛ́kṣa)	bear
भ्रमर (m) (bhramara); मधुलिह् (m) (madhulih)	bee
भ्रमरः (bhramaraḥ)	beetle
बृहत् (bṛhát); मह (mahá)	big
बिन्दु (m) (bindú)	bindi
वि (m) (ví)	bird
लोमज़िक (lomazika)	bitch
कृष्ण (kṛṣṇa)	black
असृज् (asṛj)	blood
पुस्तकम् (n) (pustak)	book
बोरान	boron
सेतुः	bridge
भण्टाकी (bhaṇṭākī)	brinjal
देवर; देवृ	brother
भ्रमर (m) (bhramara)	bumblebee
तित्तरी	butterfly
आव्हे (āvhe)	call
चन्द्रबिन्दु (candrabindu)	candrabindu
खण्डन (khaṇḍan)	candy
राजधानी (rājdhānī)	capital city
वर्ण (varṇa); जाति (f) (jāti)	caste
दुर्ग (durg)	castle
मार्जार (m) (mārjāra); बिडाल (m) (biḍāla)	cat
देवदार (devadāru)	cedar
अध्याय (m) (adhyāya)	chapter
चतुरङग (ćaturaṅga)	chess
चतुरङ्गफलक (n) (caturaṅgaphalaka)	chessboard
शिशु (śíśu)	child
चक्र (n) (cakrá); वर्तुल (n) (vartula); मण्डल (n) (máṇḍala)	circle
नगर (n) (nágara)	city
मेघ; अभ्र (n) (abhrá)	cloud
lavanga (n)	clove
काक (kāka)	cock
खानोदकः (khānōdakḥ)	coconut
शीत	cold
भूतदया (f) (bhūtadayā)	compassion
मानस (mānasá)	conceivable
व्यञ्जन (m) (vyáñjana)	consonant
ताम्रक (tāmraka)	copper
शव	corpse
देशः (deśaḥa); राष्ट्र (rāṣṭra)	country
लता (f) (latā)	creeper
anu	daily
खजूर (m) (khajūra)	date
दुहितृ (IPAchar'(duhitr̩)) (f)	daughter
बधिर 	deaf
मृग (mṛga-)	deer
लॊकतंत्र (lokatantra)	democracy
राक्षस (rākshas) (m)	demon
अवश्याय (avaśyāya)	dew
धर्म (m) (dhárma)	dharma
madhu meha	diabetes mellitus
शब्दकोश (m) (śábda-kośa); निघण्टु (m) (nighaṇṭu); अभिधान (n) (abhi-dhāna)	dictionary
अलभ्य (alabhya)	difficult
श्वन् (m) (śván)	dog
दान (dāna)	donation
द्वारं	door
(prācikā)	dragonfly
पिबति	drink
गरुडः (garuḍaḥ) (g'sa)	eagle
कर्ण (m) (kárṇa); श्रवण (n) (śrávaṇa); श्रुति (f) (śrúti)	ear
अत्ति (atti)	eat
उपराग (m) (uparāga)	eclipse
अर्थशास्त्रं	economics
अष्टन् (a<u>st</u>an), अष्ट (unicode'(aṣṭa))	eight
(a<u>st</u>aadashan) (rfscript'Devanagari)	eighteen
(cáturashiiti)	eighty
ऋणाणुशास्त्र	electronics
इभ (ibhas); गज (gaja)	elephant
एकादश (ékaadashan)	eleven
अपस्मार (apa-smāra)	epilepsy
प्रहर्ष (m) (praharṣa)	erection
सनातन	eternal
आकाश (m) (ākāśa)	ether
विस्तीर्ग (vistīrṇa)	extensive
अक्षि (n) (ákṣi); नेत्र (n) (netra); नयनम (n) (nayana)	eye
श्रद्धा (f) (śraddhā)	faith
vyama	fathom
स्त्रीलिङ्ग (strīliṅga)	feminine
राहुल	fetter
páñcadashan	fifteen
(návapañcaashat), (ekonasasti)	fifty
प्रथम (prathamá)	first
उत्तमपुरुष (m) (ut-tamá-puruṣa)	first person
मत्स्य (matsya)	fish
पञ्चन् (páñcan)	five
पुष्प (n) (púṣpa)	flower
cátushcatvaari(m)shat	forty
चतुर् (catúr)	four
cáturdashan	fourteen
फल (phála)	fruit
।; दंड (m) (daṇḍá)	full stop
मृदु (mṛdú) (n), साधु (sādhú) (n)	gentleness
भूगोलः (bhūgolaḥ)	geography
भूत (bhūt) (g'sa), प्रेत, वेताल, पिशाच	ghost
बाला (f) (bālā)	girl
एति (éti)	go
देवः (devaḥ); सुरः (suraḥ)	god
सुवर्ण (n) (suvarṇa)	gold
