English	Romanian
black	negru
blue	albăstrui
brown	maro
gray	gri
green	verde
orange	portocaliu
pink	roz
red	roşu
violet	violet
white	alb
yellow	galben
couple	pereche
eight	opt
eighteen	optsprezece
eighty	optzeci
eleven	unsprezece
fifty	cincizeci
five	cinci
forty	patruzeci
four	patru
fourteen	paisprezece
million	milion
nine	nouă
ninety	nouăzeci
nothing	nimic
one	un
seventy	şaptezeci
six	ºase
sixty	şaizeci
ten	zece
third	al treilea
thirteen	treisprezece
thirty	treizeci
thousand	mie de dolari
thousand	mie
three	trei
arm	braţ
back	spate
beak	cioc
blood	sânge
body	trunchi
bone	os
brain	minte
breath	răsuflare
cell	celulă
chest	piept
chest	piept
chin	bărbie
ear	ureche
eye	ochi
face	figură
finger	în formă de deget
foot	picior
forehead	frunte
gene	genă
hair	păr
hair	păr
hand	mână
head	cap
heart	inimă
knee	genunchi
leg	picior
lip	buză
mouth	gură
muscle	muşchi
nail	unghie
neck	gât
nerve	nerv
nose	nas
skin	piele
stomach	stomac
tail	coadă
throat	gât
thumb	deget mare
toe	deget de la picior
tongue	limbă
tooth	dinte
wing	aripă
ant	furnică
bear	urs
bee	albină
bird	pasăre
cat	pisică
cow	vacă
dog	câine
elephant	elefant
fish	peşte
fly	musca
goat	ţap
horse	cal
insect	insectă
lion	leu
monkey	maimuţă
pig	porc
sheep	oaie
snake	şarpe
afternoon	după-amiază
age	vechime
April	Aprilie
August	august
autumn	toamnă
beginning	început
century	secol
date	dată
day	zi
December	Decembrie
end	capăt
evening	seară
February	Februarie
Friday	Vineri
future	viitor
hour	oră
January	Ianuarie
July	Iulie
June	Iunie
May	mai
midnight	miez de noapte
minute	minut
moment	clipă
moment	clipă
Monday	Luni
month	lună
morning	dimineaţă
night	noaptea
November	Noiembrie
now	acum
October	Octombrie
past	trecut
pause	pauză
period	perioadă
present	prezent
Saturday	Sâmbătă
season	sezon
second	secundă
September	Septembrie
spring	primăvară
summer	vară
Sunday	Duminică
Thursday	Joi
Tuesday	Marți
Wednesday	Miercuri
week	săptămână
while	ceva timp
winter	iarnă
year	an
bread	pâ, ine
breakfast	mic dejun
butter	unt
cake	prăjitură
cheese	brânză
chocolate	ciocolată
egg	ou
food	hrană
