Romanian	﻿English
orice	anything
toată lumea	everybody
tot	everything
dumnealui, el	he
ei	her
ea însăşi	herself
îl	him
ai	his
it	it
mă	me
meu	my
nostru	our
ea	she
acea	that
lor	their
lor	them
ei	they
acest (m), această (f)	this
pe noi	us
noi	we
ce	what
când	when
care	which
care	which
cine	who
pe cine	whom
cui	whose
tu, dumneata	you
tău	your
