Polish	﻿English
każdy	anyone
cokolwiek	anything
każdy	everybody
wszystko	everything
on	he
jej	her
się	herself
jemu	him
sobie	himself
jego	his
to	it
się	itself
mnie	me
mój	my
nasz	our
ona	she
tamten	that
ich	their
ich	them
te	these
oni	they
to	this
to?	those
nam	us
my	we
co	what
kiedy	when
który	which
który	which
kto	who
kogo	whom
czyj	whose
wy, ty	you
twoje	your
