English	Polish
anyone	każdy
anything	cokolwiek
everybody	każdy
everything	wszystko
he	on
her	jej
herself	się
him	jemu
himself	sobie
his	jego
it	to
itself	się
me	mnie
my	mój
our	nasz
she	ona
that	tamten
their	ich
them	ich
these	te
they	oni
this	to
those	to?
us	nam
we	my
what	co
when	kiedy
which	który
which	który
who	kto
whom	kogo
whose	czyj
you	wy, ty
your	twoje
yourself	się