English	Russian
everybody	каждый
everything	все
he	он (on)
her	её
herself	себя
him	его
himself	себя
his	его
it	это
itself	себя
me	я
my	мой
our	наш
she	она
that	тот
their	их
them	их
these	эти
they	они
this	эта
those	эти
us	нас
we	мы
what	который
when	когда (kogdá)
which	какой
which	какой
who	кто
whom	кого
whose	чей
you	ты (ty), вы (vy)
your	твой (tvoj), ваш (vaš)
yourself	себя