Finnish	﻿English
olla	be
käynnistää	begin
rikkoa	break
ostaa	buy
sulkea	close
tulla	come
leikata	cut
tanssia	dance
käyttää	do
piirtää	draw
juoda	drink
syödä	eat
pudota	fall
löytää	find
ampua	fire
lentää	fly
seurata	follow
unohtaa	forget
saada	get
antaa	give
omistaa	have
kuulla	hear
avustaa	help
toivoa	hope
loikkia	jump
suudella	kiss
nauraa	laugh
oppia	learn
maata	lie
valehdella	lie
pitää	like
kuunnella	listen
katsoa	look
menettää	lose
rakastaa	love
tehdä	make
tavata	meet
liikkua	move
tarvita	need
tarjota	offer
avata	open
maksaa	pay
leikkiä	play
vetää	pull
työntää	push
panna	put
lukea	read
muistaa	remember
juosta	run
sanoa	say
myydä	sell
laulaa	sing
istua	sit
hymyillä	smile
uida	swim
ottaa	take
puhua	talk
ymmärtää	understand
käyttää	use
odottaa	wait
kirjoittaa	write
ottaa vastaan	accept
syyttää	accuse
saavuttaa	achieve
toimia	act
lisätä	add
lisätä	add
myöntää	admit
liikuttaa	affect
täsmätä	agree
mahdollistaa	allow
ilmoittaa	announce
kiistellä	argue
saapua	arrive
kysyä	ask
hyökätä	attack
välttää	avoid
elää	be
kantaa	bear
voittaa	beat
päästä	become
toimia	behave
luulla	believe
haukata	bite
tuoda	bring
muodostaa	build
polttaa	burn
soittaa	call
kantaa	carry
muuttaa	change
valita	choose
luokitella	classify
puhdistaa	clean
verrata	compare
sisältää	contain
jatkaa	continue
hallita	control
valmistaa	cook
kopioida	copy
yskiä	cough
hienontaa	crush
ruhjoa	crush
itkeä	cry
ratkaista	decide
kuvata	describe
haluta	desire
kehittää	develop
kuolla	die
löytää	discover
keskustella	discuss
jakaa	divide
epäillä	doubt
ajaa	drive
käsittää	embrace
rohkaista	encourage
lopettaa	end
parantaa	enhance
nauttia	enjoy
astua sisään	enter
perustaa	establish
arvioida	estimate
mennä yli	exceed
olla olemassa	exist
odottaa	expect
selittää	explain
tapella	fight
täyttää	fill
havaita	find
lopettaa	finish
tasoittaa	flush
antaa anteeksi	forgive
vapauttaa	free
kasvaa	grow
tapahtua	happen
vihata	hate
kätkeä	hide
pitää	hold
tunnistaa	identify
sisältää	include
lisätä	increase
haavoittaa	injure
esitellä	introduce
esitellä	introduce
liittää	join
pitää	keep
potkaista	kick
tappaa	kill
laskeutua	land
kestää	last
opastaa	lead
jättää	leave
antaa	let
nostaa	lift
rajoittaa	limit
ladata	load
lukita	lock
näyttää	look
kadottaa	lose
johtaa	manage
täsmätä	match
tarkoittaa	mean
aikoa	mean
mitata	measure
mainita	mention
myöhästyä	miss
kutsua	name
omistaa	own
on luovuttaa	pass
kuoria	peel
järjestää	plan
kyntää	plow
myrkyttää	poison
kiillottaa	polish
valmistaa	prepare
painaa	press
estää	prevent
painaa	print
käsitellä	process
hyötyä	profit
näyttää toteen	prove
julkaista	publish
kasvattaa	raise
arvostaa	rate
saapua	reach
saada	receive
äänittää	record
vähentää	reduce
heijastaa	reflect
kieltäytyä	refuse
poistaa	remove
palauttaa	render
korvata	replace
vastata	reply
ilmoittaa	report
edustaa	represent
pyytää	request
kunnioittaa	respect
paljastaa	reveal
vaarantaa	risk
hallita	rule
säästää	save
pelastaa	save
nähdä	see
lähettää	send
palvella	serve
ommella	sew
huutaa	shout
näyttää	show
haista	smell
haista	smell
höyrytä	smoke
viettää	spend
seisoa	stand
jäädä	stay
varastaa	steal
pysäyttää	stop
opiskella	study
kärsiä	suffer
ehdottaa	suggest
hankkia	supply
kannattaa	support
yllättää	surprise
maistaa	taste
opettaa	teach
testata	test
kiittää	thank
heittää	throw
harjoitella	train
mennä	travel
kohdella	treat
puijata	trick
yrittää	try
kääntyä	turn
käydä	visit
kävellä	walk
lämmittää	warm
pestä	wash
katsella	watch
käyttää	wear
painaa	weigh
voittaa	win
