English	Finnish
everybody	jokainen
everything	kaikki
he	hän
her	hänen
him	häntä
his	hänen
it	se
me	minua
my	minun
our	meidän
she	hän
that	tuo
their	heidän
them	heitä
they	he
this	tämä
we	me
what	mikä, mitä
when	milloin, koska
which	mikä
which	mikä
who	kuka
whose	kenen
you	sinä, sinä
your	sinun, -si possessive suffix