Bulgarian	﻿English
друг	another
лош	bad
основен	basic
красив	beautiful
за предпочитане	better
голям	big
чист	clean
студен	cold
верен	correct
тъмен	dark
труден	difficult
бърз	fast
възпитан	good
велик	great
страхотен	great
щастлив	happy
здрав	healthy
тежък	heavy
горещ	hot
важен	important
ляв	left
лек	light
наблизко	near
модерен	new
приятен	nice
истински	real
десен	right
остър	sharp
бавен	slow
мек	soft
силен	strong
слаб	weak
неточен	wrong
след	after
пред	ago
автоматичен	automatic
на разположение	available
горчив	bitter
досаден	boring
главен	central
сигурен	certain
евтин	cheap
химически	chemical
ясен	clear
затворен	closed
обикновен (m)	common
общ	common
цялостен	complete
мъчителен	cruel
опасен	dangerous
нежен	delicate
различен	different
различен	different
долу	down
сух	dry
всеки	each
в началото	early
лесен	easy
икономически	economic
пестелив	economic
електрически	electric
еднакъв	equal
четен	even
всички	every
отличен	excellent
неверен	fake
далече	far
дебел	fat
голям	fat
няколко	few
краен	final
финансов	financial
стабилен	firm
равен	flat
следващ	following
чуждестранен	foreign
бивш	former
деликатен	fragile
гратисен	free
чест	frequent
пресен	fresh
пълен	full
цял	full
бъдещ	future
всеобщ	general
индустриален	industrial
интересен	interesting
международен	international
последен	last
правен	legal
течен	liquid
шумен	loud
нисък	low
щастлив	lucky
главен	main
важен	major
много	many
метален	metal
военен	military
съвременен	modern
тесен	narrow
природен	natural
необходим	necessary
съседен	next
нормален	normal
противоположен	opposite
първичен	original
мой	own
успореден	parallel
специален	particular
минал	past
личен	personal
политически	political
беден	poor
общодостъпен	popular
възможен	possible
присъстващ	present
предишен	previous
личен	private
вероятен	probable
професионален	professional
обществен	public
спокоен	quiet
готов	ready
скорошен	recent
равен	regular
отговорен	responsible
твърд	rigid
шумен	rough
кръгъл	round
сигурен	safe
еднакъв	same
допълнителен	second
скрит	secret
разделен	separate
сериозен за	serious
стандартен	set
неколцина	several
къс	short
тих	silent
сребърен, сребърна	silver
прост	simple
едничък	single
малък	small
гладък	smooth
твърд	solid
пръснат	sparse
особен	special
определен	specific
квадратен	square
стандартен	standard
лепкав	sticky
прав	straight
странен	strange
стилен	stylish
внезапен	sudden
сладък	sweet
висок	tall
гъст	thick
тънък	thin
затегнат	tight
верен	true
грозен	ugly
под	under
необикновен	unusual
обичаен	usual
разнообразен	various
топъл	warm
мокър	wet
цял	whole
