咳嗽 (késòu)
可能 (kěnéng)
可是 (kěshì)
可以 (kěyǐ)
客氣／客气 (kèqì)
課本／课本 (kèběn)
課文／课文 (kèwén)
空氣／空气 (kōngqì)
口語／口语 (kǒuyǔ)
困難／困难 (kùnnán)
籃球／篮球 (lánqiú)
勞動／劳动 (láodòng)
勞駕／劳驾 (láojià)
老師／老师 (lǎoshī)
離開／离开 (líkāi)
裡邊／里边 (lǐbiān)
禮物／礼物 (lǐwù)
歷史／历史 (lìshǐ)
立刻 (lìkè)
利用 (lìyòng)
例如 (lìrú)
連……都……／连……都…… (lián...dōu...)
聯繫／联系 (liánxì)
練習／练习 (liànxí)
涼快／凉快 (liángkuài)
瞭解／了解 (liǎojiě)
領導／领导 (lǐngdǎo)
留念 (liúniàn)
留學生／留学生 (liúxuéshēng)
錄音／录音 (lùyīn)
旅行 (lǚxíng)
媽媽／妈妈 (māma)
麻煩／麻烦 (máfan)
馬上／马上 (mǎshàng)
滿意／满意 (mǎnyì)
帽子 (màozi)
沒關係／没关系 (méiguānxi)
沒意思／没意思 (méiyìsi)
沒有／没有 (méiyǒu)
妹妹 (mèimèi)
門口／门口 (ménkǒu)
米飯／米饭 (mǐfàn)
麵包／面包 (miànbāo)
麵條兒／面条儿 (miàntiáor)
民族 (mínzú)
名字 (míngzi)
明年 (míngnián)
明天 (míngtiān)
母親／母亲 (mǔqīn)
目前 (mùqián)
哪裡／哪里 (nǎli)
那个／那個 (nǎge/něige)
那裡／那里 (nǎlǐ)
那麼／那么 (nàme)
那些 (nàxiē)
那樣／那样 (nàyàng)
南邊／南边 (nánbiān)
內容／内容 (nèiróng)
能夠／能够 (nénggòu)
你們／你们 (nǐmen)
年級／年级 (niánjí)
年紀／年纪 (niánjì)
年輕／年轻 (niánqīng)
牛奶 (niúnǎi)
農村／农村 (nóngcūn)
農民／农民 (nóngmín)
農業／农业 (nóngyè)
努力 (nǔlì)
女兒／女儿 (nǚ'ér)
暖和 (nuǎnhuó)
排球 (páiqiú)
旁邊／旁边 (pángbiān)
跑步 (pǎobù)
朋友 (péngyou)
批評／批评 (pīpíng)
啤酒 (píjiǔ)
便宜 (piányi)
漂亮 (piàoliang)
蘋果／苹果 (píngguǒ)
起床 (qǐchuáng)
起來／起来 (qǐlái)
汽車／汽车 (qìchē)
汽水 (qìshuǐ)
鉛筆／铅笔 (qiānbǐ)
前邊／前边 (qiánbiān)
青年 (qīngnián)
清楚 (qīngchǔ)
情況／情况 (qíngkuàng)
請假／请假 (qǐngjià)
請問／请问 (qǐngwèn)
秋天 (qiūtiān)
取得 (qǔdé)
去年 (qùnián)
全部 (quánbù)
全體／全体 (quántǐ)
確實／确实 (quèshí)
然後／然后 (ránhòu)
